Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Christian Ehrhoff,LOS,23,,2,,6,,8,,-5,,16,,22,,9,,0,,0,,N/A,,0,,5,,0,,0,,0,,42,,0.048
Shayne Gostisbehere,PHI,12,,4,,4,,8,,3,,0,,3,,10,,1,,0,,1,,3,,2,,0,,0,,2,,27,,0.148
Hampus Lindholm,ANA,27,,2,,5,,7,,-5,,8,,20,,46,,0,,0,,N/A,,1,,3,,0,,0,,0,,53,,0.038
Paul Martin,SAN,25,,1,,6,,7,,-2,,4,,22,,37,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0.059
Kevan Miller,BOS,20,,2,,5,,7,,5,,9,,50,,42,,0,,0,,N/A,,0,,1,,0,,0,,0,,25,,0.08
Michael Del Zotto,PHI,28,,1,,6,,7,,-9,,8,,71,,51,,0,,0,,N/A,,0,,1,,0,,0,,0,,59,,0.017
Matt Dumba,MIN,26,,4,,3,,7,,-1,,8,,28,,22,,0,,0,,N/A,,2,,1,,0,,0,,3,,47,,0.085
Noah Hanifin,CAR,25,,1,,6,,7,,-2,,8,,23,,30,,0,,0,,N/A,,0,,2,,0,,0,,0,,35,,0.029
Jacob Trouba,WPG,28,,2,,5,,7,,0,,42,,44,,57,,0,,1,,0,,0,,0,,0,,1,,0,,40,,0.05
Jordie Benn,DAL,27,,0,,7,,7,,2,,4,,40,,40,,0,,0,,N/A,,0,,0,,0,,1,,0,,23,,0
Jay Bouwmeester,STL,28,,1,,6,,7,,-3,,12,,20,,45,,0,,0,,N/A,,1,,0,,0,,0,,0,,40,,0.025
Marco Scandella,MIN,19,,3,,4,,7,,3,,8,,19,,35,,0,,0,,N/A,,2,,1,,0,,1,,0,,29,,0.103
Matt Bartkowski,VAN,29,,2,,5,,7,,0,,22,,58,,16,,0,,0,,N/A,,0,,0,,0,,0,,0,,26,,0.077
Kevin Klein,NYR,25,,3,,3,,6,,11,,13,,40,,52,,0,,0,,N/A,,0,,1,,0,,0,,1,,24,,0.125
Dan Boyle,NYR,23,,1,,5,,6,,7,,14,,29,,30,,0,,0,,N/A,,0,,4,,0,,0,,0,,26,,0.038
Darnell Nurse,EDM,20,,1,,5,,6,,-1,,8,,46,,22,,0,,0,,N/A,,0,,1,,0,,0,,0,,35,,0.029
Danny DeKeyser,DET,24,,2,,4,,6,,4,,10,,25,,37,,0,,0,,N/A,,0,,0,,0,,0,,0,,20,,0.1
Jake Gardiner,TOR,25,,2,,4,,6,,0,,8,,40,,14,,1,,0,,1,,0,,2,,0,,0,,1,,30,,0.067
Travis Hamonic,NYI,29,,1,,5,,6,,6,,22,,93,,49,,0,,0,,N/A,,0,,0,,0,,0,,0,,56,,0.018
Adam Larsson,NJD,28,,1,,5,,6,,6,,25,,58,,55,,0,,0,,N/A,,0,,0,,0,,1,,1,,19,,0.053
Roman Polak,TOR,26,,0,,6,,6,,5,,14,,95,,50,,0,,0,,N/A,,0,,0,,0,,0,,0,,24,,0
Kris Russell,CGY,25,,1,,5,,6,,-10,,4,,22,,83,,0,,0,,N/A,,0,,0,,0,,0,,0,,26,,0.038
Cody Ceci,OTT,27,,2,,4,,6,,-1,,14,,18,,50,,0,,0,,N/A,,0,,0,,0,,0,,0,,37,,0.054
Brian Dumoulin,PIT,27,,0,,6,,6,,3,,0,,17,,29,,0,,0,,N/A,,0,,0,,0,,0,,0,,30,,0
Cody Goloubef,COB,16,,1,,4,,5,,4,,12,,14,,20,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0.056
Jonathan Ericsson,DET,28,,1,,4,,5,,7,,34,,40,,22,,0,,0,,N/A,,0,,0,,0,,0,,0,,25,,0.04
Jonas Brodin,MIN,25,,1,,4,,5,,3,,12,,11,,31,,0,,0,,N/A,,0,,0,,0,,0,,0,,21,,0.048
Josh Gorges,BUF,28,,1,,4,,5,,0,,32,,56,,71,,0,,0,,N/A,,0,,0,,0,,0,,0,,22,,0.045
Marc Methot,OTT,25,,2,,3,,5,,4,,20,,44,,40,,0,,0,,N/A,,0,,0,,0,,0,,0,,32,,0.063
Braydon Coburn,TAM,28,,1,,4,,5,,1,,15,,43,,33,,0,,0,,N/A,,0,,0,,0,,0,,0,,33,,0.03
Connor Murphy,ARI,24,,1,,4,,5,,-3,,20,,26,,31,,0,,0,,N/A,,1,,0,,0,,0,,0,,23,,0.043
Trevor Daley,CHI,27,,0,,5,,5,,0,,6,,19,,17,,0,,1,,0,,0,,2,,0,,0,,0,,39,,0
Jyrki Jokipakka,DAL,20,,1,,4,,5,,3,,4,,27,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,13,,0.077
Brett Pesce,CAR,21,,2,,3,,5,,-7,,6,,13,,20,,0,,0,,N/A,,0,,1,,0,,0,,0,,26,,0.077
Jakub Kindl,DET,18,,2,,3,,5,,3,,10,,11,,15,,0,,0,,N/A,,0,,0,,0,,0,,1,,31,,0.065
David Schlemko,NJD,22,,2,,3,,5,,-2,,8,,9,,20,,0,,0,,N/A,,0,,3,,0,,0,,1,,24,,0.083
Luke Schenn,PHI,23,,2,,3,,5,,-9,,28,,57,,29,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0.111
Brayden McNabb,LOS,26,,1,,4,,5,,6,,16,,66,,30,,0,,0,,N/A,,0,,0,,0,,0,,1,,37,,0.027
Ben Lovejoy,PIT,27,,2,,3,,5,,8,,12,,62,,47,,0,,0,,N/A,,0,,0,,0,,1,,0,,34,,0.059
Ryan Murphy,CAR,18,,0,,4,,4,,0,,4,,20,,10,,0,,0,,N/A,,0,,1,,0,,0,,0,,31,,0
Erik Gudbranson,FLA,28,,1,,3,,4,,-4,,23,,72,,40,,0,,0,,N/A,,0,,0,,0,,0,,0,,27,,0.037
Andrej Sustr,TAM,26,,0,,4,,4,,1,,12,,10,,23,,0,,0,,N/A,,0,,0,,0,,0,,0,,24,,0
Christopher Tanev,VAN,28,,1,,3,,4,,4,,4,,8,,74,,0,,0,,N/A,,1,,0,,0,,0,,0,,18,,0.056
Kevin Connauton,COB,21,,0,,4,,4,,5,,19,,19,,12,,0,,0,,N/A,,0,,2,,0,,0,,0,,37,,0
Stefan Elliott,ARI,11,,2,,2,,4,,-1,,4,,8,,11,,0,,0,,N/A,,0,,0,,0,,0,,0,,23,,0.087
Brenden Dillon,SAN,28,,1,,3,,4,,5,,34,,48,,38,,0,,0,,N/A,,0,,0,,0,,0,,1,,28,,0.036
Brandon Davidson,EDM,18,,2,,2,,4,,3,,12,,34,,28,,0,,0,,N/A,,1,,0,,0,,0,,0,,21,,0.095
Jason Garrison,TAM,28,,2,,2,,4,,1,,6,,36,,47,,0,,0,,N/A,,0,,0,,0,,0,,1,,43,,0.047
Luca Sbisa,VAN,18,,1,,3,,4,,0,,17,,31,,28,,0,,0,,N/A,,0,,0,,0,,1,,1,,13,,0.077
Trevor van Riemsdyk,CHI,28,,2,,2,,4,,-5,,7,,15,,53,,0,,0,,N/A,,0,,0,,0,,0,,0,,29,,0.069
Yannick Weber,VAN,21,,0,,4,,4,,-11,,10,,19,,18,,0,,0,,N/A,,0,,4,,0,,0,,0,,38,,0
Carl Gunnarsson,STL,28,,1,,3,,4,,8,,12,,26,,47,,0,,0,,N/A,,1,,0,,0,,0,,0,,28,,0.036
John-Michael Liles,CAR,28,,0,,4,,4,,-7,,6,,28,,39,,0,,0,,N/A,,0,,2,,0,,0,,0,,37,,0
Nicklas Grossmann,ARI,21,,3,,1,,4,,2,,4,,39,,23,,0,,0,,N/A,,0,,0,,0,,0,,1,,11,,0.273
Ian Cole,PIT,27,,0,,4,,4,,-10,,22,,37,,57,,0,,0,,N/A,,0,,1,,0,,0,,0,,31,,0
Andy Greene,NJD,28,,2,,2,,4,,-1,,12,,22,,47,,0,,0,,N/A,,1,,1,,0,,0,,0,,27,,0.074
Adam McQuaid,BOS,27,,0,,4,,4,,5,,29,,57,,40,,0,,0,,N/A,,0,,0,,0,,0,,0,,15,,0
Calvin de Haan,NYI,29,,1,,3,,4,,5,,14,,62,,78,,0,,1,,0,,0,,0,,0,,0,,0,,42,,0.024
Jamie McBain,LOS,21,,1,,3,,4,,2,,4,,12,,23,,0,,0,,N/A,,1,,2,,0,,0,,0,,19,,0.053
Rob Scuderi,PIT,24,,0,,4,,4,,4,,8,,10,,32,,0,,1,,0,,0,,0,,0,,1,,0,,9,,0
Willie Mitchell,FLA,28,,0,,4,,4,,-1,,8,,39,,44,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0
Evgeny Medvedev,PHI,17,,1,,3,,4,,0,,10,,25,,11,,0,,0,,N/A,,0,,1,,0,,0,,0,,29,,0.034
Nate Schmidt,WAS,21,,1,,3,,4,,4,,2,,21,,23,,0,,0,,N/A,,0,,0,,0,,0,,1,,27,,0.037
Dan Hamhuis,VAN,27,,0,,4,,4,,7,,12,,34,,43,,0,,0,,N/A,,0,,1,,0,,0,,0,,29,,0
Carlo Colaiacovo,BUF,19,,0,,4,,4,,-4,,4,,25,,26,,0,,0,,N/A,,0,,1,,0,,0,,0,,18,,0
Ben Chiarot,WPG,16,,0,,3,,3,,-3,,16,,34,,21,,0,,0,,N/A,,0,,0,,0,,0,,0,,14,,0
Brooks Orpik,WAS,14,,1,,2,,3,,-1,,18,,41,,27,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0.083
Thomas Hickey,NYI,10,,2,,1,,3,,3,,10,,18,,11,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0.182
Brandon Manning,PHI,22,,0,,3,,3,,3,,21,,37,,18,,0,,0,,N/A,,0,,0,,0,,0,,0,,29,,0
Erik Gustafsson,CHI,6,,0,,3,,3,,5,,0,,7,,2,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0
Zach Trotman,BOS,15,,0,,3,,3,,1,,8,,23,,17,,0,,0,,N/A,,0,,0,,0,,0,,0,,27,,0
Clayton Stoner,ANA,25,,1,,2,,3,,0,,43,,57,,28,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0.083
Zbynek Michalek,ARI,26,,1,,2,,3,,-1,,10,,38,,50,,0,,0,,N/A,,0,,0,,0,,0,,0,,24,,0.042
Klas Dahlbeck,ARI,28,,2,,1,,3,,1,,8,,85,,34,,0,,0,,N/A,,0,,0,,0,,0,,0,,26,,0.077
Chris Wideman,OTT,17,,3,,0,,3,,3,,2,,12,,10,,0,,0,,N/A,,1,,0,,0,,0,,1,,28,,0.107
Brendan Smith,DET,20,,1,,2,,3,,5,,21,,27,,14,,0,,0,,N/A,,1,,0,,0,,0,,0,,18,,0.056
Matt Tennyson,SAN,23,,1,,2,,3,,0,,0,,20,,16,,0,,0,,N/A,,1,,0,,0,,0,,0,,22,,0.045
Kyle Quincey,DET,7,,1,,2,,3,,1,,6,,8,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,10,,0.1
Dennis Seidenberg,BOS,11,,0,,3,,3,,0,,4,,26,,17,,0,,0,,N/A,,0,,0,,0,,0,,0,,10,,0
Jake McCabe,BUF,25,,2,,1,,3,,-2,,10,,35,,29,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0.111
Kevin Bieksa,ANA,28,,0,,3,,3,,-4,,40,,75,,48,,0,,0,,N/A,,0,,1,,0,,0,,0,,31,,0
Dmitry Kulikov,FLA,20,,0,,3,,3,,-2,,4,,29,,25,,0,,0,,N/A,,0,,1,,0,,0,,0,,34,,0
Jared Cowen,OTT,25,,0,,3,,3,,11,,10,,72,,40,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0
Alex Petrovic,FLA,21,,0,,3,,3,,-3,,18,,58,,24,,0,,0,,N/A,,0,,0,,0,,0,,0,,16,,0
Zach Bogosian,BUF,11,,1,,2,,3,,-4,,6,,17,,19,,0,,0,,N/A,,0,,1,,0,,0,,0,,20,,0.05
Patrick Wiercioch,OTT,20,,0,,3,,3,,-5,,16,,18,,20,,0,,0,,N/A,,0,,2,,0,,0,,0,,21,,0
Eric Gelinas,NJD,17,,1,,2,,3,,-2,,12,,24,,10,,0,,0,,N/A,,1,,2,,0,,0,,0,,22,,0.045
Eric Gryba,EDM,25,,0,,3,,3,,2,,31,,48,,40,,0,,0,,N/A,,0,,0,,0,,0,,0,,26,,0
Mark Stuart,WPG,28,,1,,1,,2,,-1,,28,,79,,46,,0,,0,,N/A,,0,,0,,0,,0,,0,,20,,0.05
Viktor Svedberg,CHI,15,,1,,1,,2,,-1,,2,,9,,20,,0,,0,,N/A,,0,,0,,0,,0,,0,,23,,0.043
Jamie Oleksiak,DAL,9,,0,,2,,2,,0,,21,,31,,12,,0,,0,,N/A,,0,,0,,0,,0,,0,,10,,0
Barret Jackman,NAS,27,,1,,1,,2,,4,,41,,39,,47,,0,,0,,N/A,,0,,0,,0,,0,,1,,27,,0.037
Joe Morrow,BOS,11,,1,,1,,2,,-1,,4,,8,,14,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0.2
Joel Edmundson,STL,23,,0,,2,,2,,-4,,20,,32,,21,,0,,0,,N/A,,0,,0,,0,,0,,0,,28,,0
Steven Kampfer,FLA,12,,0,,2,,2,,1,,4,,20,,17,,0,,0,,N/A,,0,,1,,0,,0,,0,,5,,0
Deryk Engelland,CGY,25,,0,,2,,2,,1,,15,,36,,27,,0,,0,,N/A,,0,,0,,0,,0,,0,,24,,0
Justin Schultz,EDM,15,,0,,2,,2,,-6,,4,,11,,20,,0,,2,,0,,0,,2,,0,,0,,0,,19,,0
Christian Folin,MIN,14,,0,,2,,2,,1,,9,,19,,17,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0
Brian Strait,NYI,20,,0,,2,,2,,-2,,10,,53,,20,,0,,0,,N/A,,0,,0,,0,,1,,0,,16,,0
Taylor Chorney,WAS,17,,0,,2,,2,,3,,6,,18,,23,,0,,0,,N/A,,0,,0,,0,,0,,0,,9,,0
Jaccob Slavin,CAR,9,,1,,1,,2,,-1,,0,,3,,16,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0.091
Nikita Zadorov,COL,11,,0,,2,,2,,-5,,8,,34,,9,,0,,0,,N/A,,0,,0,,0,,0,,0,,7,,0
Zach Redmond,COL,7,,0,,2,,2,,2,,0,,8,,5,,0,,0,,N/A,,0,,0,,0,,0,,0,,2,,0
Alexei Emelin,MON,22,,0,,2,,2,,2,,31,,72,,32,,0,,0,,N/A,,0,,0,,0,,0,,0,,13,,0
Fedor Tyutin,COB,21,,0,,1,,1,,-6,,8,,48,,23,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0
Adam Pardy,WPG,10,,0,,1,,1,,-1,,6,,14,,5,,0,,0,,N/A,,0,,0,,0,,1,,0,,5,,0
Nate Prosser,MIN,19,,0,,1,,1,,4,,15,,7,,20,,0,,0,,N/A,,0,,0,,0,,0,,0,,6,,0
Alexey Marchenko,DET,21,,0,,1,,1,,-3,,4,,22,,30,,0,,0,,N/A,,0,,0,,0,,0,,0,,10,,0
Korbinian Holzer,ANA,10,,0,,1,,1,,0,,2,,19,,9,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0
David Rundblad,CHI,6,,0,,1,,1,,-2,,6,,1,,2,,0,,0,,N/A,,0,,1,,0,,0,,0,,10,,0
Tommy Cross,BOS,3,,0,,1,,1,,-1,,0,,3,,1,,0,,0,,N/A,,0,,0,,0,,1,,0,,0,,N/A
Mark Fayne,EDM,24,,0,,1,,1,,-8,,6,,21,,30,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0
Radko Gudas,PHI,22,,0,,1,,1,,-1,,22,,118,,36,,0,,0,,N/A,,0,,0,,0,,0,,0,,37,,0
Nick Schultz,PHI,27,,0,,1,,1,,-8,,14,,31,,60,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0
Patrik Nemeth,DAL,6,,0,,1,,1,,-2,,2,,9,,9,,0,,0,,N/A,,0,,0,,0,,0,,0,,6,,0
Tom Gilbert,MON,29,,0,,1,,1,,10,,8,,21,,46,,0,,0,,N/A,,0,,0,,0,,1,,0,,26,,0
