"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"abdelju8720142015","Justin.Abdelkader","RL","DET",76,20142015,27,"2.000","1.800",23,23,46,1.03,1.03,2.06,3,59.96,101.04,14.38,19.62,17.64,108,13.83,63.69,49.86,132,307,175,13.74,7.83,21.57,11,61.48,50.48,260,696,436,31.15,19.51,50.66,174,10.37,49.6,446,1342,896,60.06,40.1,100.16,54.84,39,31,248,10.73,59.35,48.62,316,1003,687,44.89,30.75,75.64,73.38,49,209,11.32,59.16,47.85,228,32.94,22.74,736,508,160,43.3,26.06,13.83,47.65,3.71,2.33,83,52,31,61.48,11,11.28,8.28,89.76,92.43,42.86,7,8,67.97,641,419,302,182,136,16,7,137,30,16,25,28,0.13,1340.6,3298.5,28.9,18.61,17.77,53.32,50.02,53.39,46.74,54.68,54.64
"actonwi8720142015","Will.Acton","C","EDM",3,20142015,27,"0.650","0.665",0,0,0,0,0,0,0,40,83.33,0,-55.21,10.72,0,-34.78,10,44.78,-8,1,9,1.87,16.79,18.65,-29.55,26.09,55.64,-11,6,17,11.19,31.71,42.9,1,-16.83,56.83,-11,22,33,41.04,61.55,102.59,45.45,1,3,3,-6.77,47.22,53.99,-2,17,19,31.71,35.44,67.15,58.82,0,2,-16.29,40,56.29,-5,18.65,27.98,10,15,2,54.55,21.05,-7.78,27.78,1.87,7.46,1,4,-3,20,0,10,5.88,73.33,78.95,42.86,4,4,12.5,3,11,21,3,7,0,0,2,0,2,0,0,0,32.17,147.37,17.92,16.33,16.68,45.55,51.26,48.88,58.44,56.29,53.51
"adamscr7720142015","Craig.Adams","C","PIT",70,20142015,37,"0.850","0.700",1,6,7,0.09,0.53,0.62,-3,35.51,97.82,1.96,-24.04,9.62,17,-21.86,32.11,53.97,-78,70,148,6.24,13.18,19.42,-22.05,32.77,54.83,-185,176,361,15.68,32.16,47.83,43,-19.06,54.57,-320,392,712,34.92,63.42,98.34,56.38,12,29,76,-19.29,35.57,54.85,-237,292,529,26.01,47.12,73.13,75.68,13,64,-17.07,37.52,54.59,-147,19.69,32.78,221,368,51,48.31,30.43,-23.7,53.7,1.07,2.49,12,28,-16,30,1.56,5.43,4.11,92.39,94.71,41.67,17,23,31.25,105,191,231,183,71,3,3,50,7,6,7,4,-0.27,673.58,3585.38,15.82,8.24,8.49,48.93,49.43,25.34,26.45,26.97,27.59
"adamxlu9020142015","Luke.Adam","L","CBJ",3,20142015,24,"0.650","0.650",0,0,0,0,0,0,-1,55,100,NA,-12.22,5.97,0,-54.55,0,54.55,-3,0,3,0,10.05,10.05,-5.19,42.86,48.05,-1,3,4,10.05,13.4,23.44,1,7.96,47.04,2,11,9,36.84,30.14,66.98,27.27,1,0,1,-8.49,38.46,46.95,-3,5,8,16.74,26.79,43.53,60,0,0,-7.76,37.5,45.26,-2,10.05,16.74,3,5,0,44.44,37.5,NA,55.56,0,0,0,0,0,NA,NA,0,0,100,100,40,0,0,30,3,7,7,2,3,0,0,0,0,0,1,0,-3.35,17.92,171.7,9.45,15.81,15.96,45.03,48.63,45.16,55.12,50.83,53.7
"agozzan9120142015","Andrew.Agozzino","LC","COL",1,20142015,23,"0.590","0.590",0,1,1,0,5.53,5.53,0,36.36,120,0,-10.61,10.84,1,-25,25,50,-2,1,3,5.53,16.6,22.14,-23.49,30,53.49,-4,3,7,16.6,38.74,55.34,1,-18.84,55.21,-6,8,14,44.27,77.48,121.75,62.5,0,0,2,-12.31,43.75,56.06,-2,7,9,38.74,49.81,88.55,71.43,1,2,-13.37,45.45,58.82,-1,27.67,33.21,5,6,1,57.14,33.33,50,50,5.53,0,1,0,1,100,0,20,14.29,100,100,36.36,0,2,50,5,4,5,1,0,0,1,1,0,1,0,0,0,10.84,49.16,18.07,14.86,16.96,46.35,51.38,49.74,57.57,57.17,54.11
"akesoja9020142015","Jason.Akeson","R","PHI",13,20142015,24,"0.575","0.575",0,0,0,0,0,0,-1,39.47,99.36,0,2.75,8.08,4,-30.7,22.86,53.56,-19,8,27,4.57,15.43,20,-18.82,31.65,50.46,-29,25,54,14.28,30.85,45.14,11,-10.01,49.48,-40,75,115,42.85,65.71,108.56,54.67,6,4,20,-9.51,40.29,49.79,-27,56,83,32,47.42,79.42,73.21,5,14,-11.6,38.68,50.28,-24,23.43,37.14,41,65,9,43.48,21.69,-16.67,50,0.57,1.14,1,2,-1,33.33,0,2.44,1.79,96.92,97.59,40.91,1,1,50,23,30,23,11,13,0,0,9,3,1,4,3,-0.57,105.01,686.21,13.27,16.07,16.68,47.46,50.07,51.96,57.51,53.02,52.88
"allenbr8020142015","Bryan.Allen","D","ANA/MTL",11,20142015,34,"3.500","3.500",0,2,2,0,0.68,0.68,-3,48.48,97,0,-8.45,15.97,0,-2.65,50.94,53.59,1,27,26,9.22,8.88,18.11,-8.46,47.45,55.9,-7,65,72,22.21,24.6,46.81,8,-7.56,56.04,-10,159,169,54.32,57.74,112.06,42.14,15,15,30,-6.82,47.84,54.67,-10,111,121,37.92,41.34,79.26,60.36,9,15,-10.17,43.79,53.97,-19,22.89,29.38,67,86,6,49.11,28.93,-6.79,42.5,1.71,3.07,5,9,-4,35.71,0,7.46,4.5,89.53,92.56,40,0,0,40.57,43,47,63,20,26,1,1,6,8,0,3,0,-1.02,175.62,510.23,25.61,16.34,17.19,49.38,49.26,54.21,55.56,52.59,54.17
"allenco9020142015","Conor.Allen","D","NYR",4,20142015,24,"0.925","0.925",0,0,0,0,0,0,-2,57.65,94.82,0,21.49,12.06,0,23.46,66.67,43.21,7,14,7,17.42,8.71,26.12,18.51,65.71,47.21,11,23,12,28.61,14.93,43.54,0,10.79,46.86,13,49,36,60.95,44.78,105.74,46.94,2,0,4,5.88,53.45,47.57,4,31,27,38.56,33.59,72.15,74.19,0,2,3,52.27,49.28,2,28.61,26.12,23,21,2,41.67,22.22,-14.49,47.83,1.24,2.49,1,2,-1,33.33,0,4.35,3.23,90.48,92.59,40,0,0,68.75,22,13,10,6,7,0,0,2,3,0,2,0,-2.49,48.23,198.25,19.57,16.27,16.23,49.9,49.01,54,54.22,52.07,54.18
"altxxma9120142015","Mark.Alt","D","PHI",1,20142015,22,"0.790","0.782",0,0,0,0,0,0,0,70.59,75,NA,18.18,10.56,0,16.67,50,33.33,0,1,1,5.68,5.68,11.37,35.19,66.67,31.48,2,4,2,22.73,11.37,34.1,0,39.61,30.97,7,12,5,68.19,28.41,96.61,16.67,3,0,6,37.61,63.64,26.03,3,7,4,39.78,22.73,62.51,28.57,3,3,4.76,33.33,28.57,-2,11.37,22.73,2,4,0,20,0,-66.67,66.67,0,5.68,0,1,-1,0,0,0,0,75,75,40,0,0,50,3,2,3,1,0,0,0,0,0,0,0,0,0,10.56,54.41,16.25,15.63,15.61,48.99,48.45,52.97,55.16,55.13,58.66
"alzneka8820142015","Karl.Alzner","D","WSH",96,20142015,25,"2.800","2.800",7,18,25,0.23,0.59,0.82,-6,46.57,100.96,8.24,-10.19,19.16,2,-4.92,45.71,50.62,-53,282,335,9.2,10.93,20.13,-4.76,47.53,52.29,-75,722,797,23.55,26,49.55,47,-5.66,52.23,-227,1541,1768,50.26,57.67,107.93,50.75,71,194,202,-5.78,46.78,52.56,-154,1119,1273,36.5,41.52,78.02,69.88,46,131,-5.67,46.55,52.22,-116,25.51,29.29,782,898,85,49.21,29.46,-5.78,55.4,2.12,2.15,65,66,-1,49.62,5.34,8.31,5.81,92.65,94.82,40,0,0,44.17,527,676,666,156,218,7,11,78,43,18,13,7,-0.2,1839.47,4023.09,31.38,17.01,17.34,50.36,50.07,54.45,53.67,54.57,54.42
