"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"anderjo8920142015","Joakim.Andersson","C","DET",75,20142015,25,"0.765","0.733",4,6,10,0.29,0.43,0.71,-8,37.7,99.86,5,-24.91,11.21,25,-14.19,40.43,54.62,-44,93,137,6.64,9.78,16.41,-16.76,39.32,56.08,-138,254,392,18.13,27.98,46.1,65,-17.28,54.98,-330,506,836,36.11,59.66,95.77,57.11,18,26,112,-16.09,37.45,53.54,-256,382,638,27.26,45.53,72.79,75.65,14,94,-16.38,36.82,53.19,-207,20.63,35.4,289,496,80,40.67,22.26,-17.29,53.66,1.43,2.5,20,35,-15,36.36,4.26,6.92,5.24,92.94,94.51,50.47,209,201,32.32,170,237,356,32,81,5,1,76,14,8,11,3,-0.57,840.73,3728.54,18.4,16.86,16.86,50.7,49.9,49.29,47.94,53.93,54.15
"anderjo9420142015","Josh.Anderson","RL","CBJ",6,20142015,20,"0.642","0.709",0,1,1,0,0.72,0.72,0,51.03,97.62,0,-8.96,13.9,3,10.03,57.14,47.12,4,16,12,11.51,8.64,20.15,6.61,55.22,48.62,7,37,30,26.63,21.59,48.22,11,1.97,49.06,3,74,71,53.25,51.09,104.35,56.76,6,2,19,-3.17,46.3,49.46,-8,50,58,35.98,41.74,77.72,84,3,13,-1.28,50,51.28,0,30.22,30.22,42,42,10,40.85,27.59,-7.14,50,2.16,2.88,3,4,-1,42.86,0,7.14,6,90.48,93.1,40,0,0,47.73,21,27,23,24,12,0,1,10,3,3,1,1,0,83.38,276.38,23.18,18.35,17.68,48.72,51.09,52.23,54.98,54.64,52.3
"andrean9120142015","Andy.Andreoff","CL","L.A",18,20142015,23,"0.550","0.550",2,1,3,0.75,0.38,1.13,-3,47.55,102.02,14.29,12.34,8.86,8,8.31,51.85,43.54,2,28,26,10.53,9.78,20.31,-6.21,41.73,47.95,-21,53,74,19.93,27.83,47.76,17,-4.56,52.11,-13,126,139,47.38,52.27,99.66,50.79,4,0,28,-5.28,45.77,51.05,-17,92,109,34.6,40.99,75.59,69.57,10,24,-4.18,46.04,50.22,-11,24.07,28.2,64,75,14,46.04,31.19,13.42,46.58,1.13,0.75,3,2,1,60,8.33,4.69,3.26,97.33,98.17,49.38,32,29,59.42,41,30,28,33,18,0,1,12,4,7,4,1,-1.13,159.55,932.09,14.62,17,16.59,53.39,49.15,56.49,49.31,52.48,54.29
"andrisv9320142015","Sven.Andrighetto","RL","MTL",12,20142015,21,"0.625","0.633",2,1,3,1.1,0.55,1.65,0,50.56,102.55,16.67,22.12,9.11,5,-6.74,38.24,44.98,-8,13,21,7.14,11.53,18.66,1.47,45.05,43.58,-9,41,50,22.51,27.45,49.95,12,7.12,43.43,2,91,89,49.95,48.85,98.8,59.34,8,4,21,6.19,50,43.81,0,69,69,37.87,37.87,75.75,78.26,1,13,9.64,52.94,43.3,6,29.64,26.35,54,48,12,46.07,30.43,-6.11,64.44,3.84,2.74,7,5,2,58.33,15.38,12.96,10.14,89.58,92.75,31.43,3,12,65.08,41,24,22,5,13,1,0,10,2,1,0,0,0,109.31,618.88,15.01,17.24,17.01,47.15,51.01,51.81,58.08,55.41,53.21
"angelmi8520142015","Mike.Angelidis","L","T.B",3,20142015,29,"0.650","0.650",0,0,0,0,0,0,0,53.33,100,NA,24.57,7.79,0,-9.69,42.86,52.54,-1,3,4,7.7,10.26,17.96,1.57,52.94,51.37,1,9,8,23.09,20.53,43.62,0,4.9,48.43,2,16,14,41.05,35.92,76.98,56.25,0,0,0,-1.21,45.45,46.67,-2,10,12,25.66,30.79,56.45,90,0,0,1.85,50,48.15,0,23.09,23.09,9,9,0,35.71,25,NA,53.85,0,0,0,0,0,NA,NA,0,0,100,100,38.46,7,12,75,9,9,3,5,4,0,0,0,0,0,0,0,0,23.38,161.12,12.67,15.68,16.02,53.7,49.14,55.33,47.7,52.44,54.28
"anisiar8820142015","Artem.Anisimov","C","CBJ",52,20142015,26,"3.100","3.283",7,20,27,0.49,1.41,1.9,4,49.84,98.28,7.95,0.64,16.36,53,2.46,52.63,50.17,17,170,153,11.99,10.79,22.78,2.82,51.25,48.43,19,389,370,27.44,26.1,53.53,110,2.56,47.28,-5,760,765,53.6,53.95,107.56,55.79,39,26,175,2.48,49.45,46.97,-13,581,594,40.98,41.89,82.87,72.98,48,136,0.51,47.59,47.08,-43,29.9,32.94,424,467,88,38.95,21.38,-7.36,50.69,2.75,3.6,39,51,-12,43.33,5.15,9.2,6.71,89.08,91.41,44.18,102,127,46.69,268,270,306,33,72,15,5,81,21,24,4,8,0.28,850.73,2308.56,26.93,17.66,17.19,48.44,49.71,51.33,54.63,53.98,54.6
"arcobma8820142015","Mark.Arcobello","CR","EDM/NSH/PIT/ARI",77,20142015,26,"0.600","0.600",17,14,31,0.9,0.74,1.63,0,53.15,98.2,13.18,15.56,14.79,43,0.67,46.55,45.88,-27,182,209,9.59,11.01,20.6,3.71,51.15,47.44,23,510,487,26.86,25.65,52.51,122,4.97,48.19,132,1112,980,58.57,51.62,110.19,50.54,57,27,243,4.41,52.25,47.84,71,825,754,43.46,39.72,83.17,68.12,57,186,2.52,50.04,47.52,1,29.6,29.55,562,561,129,42.76,25.6,8.74,35.94,2.21,2.74,42,52,-10,44.68,9.14,7.47,5.09,90.73,93.1,49.95,471,468,61.4,455,421,286,111,93,7,7,112,43,39,10,10,0,1139.11,3527.22,24.41,17.86,17.25,48.88,49.78,53.82,56.29,53.98,54.46
"armiajo9320142015","Joel.Armia","R","BUF",1,20142015,21,"0.925","0.902",0,0,0,0,0,0,0,26.67,100,NA,6.67,14.59,0,5.56,33.33,27.78,-2,2,4,8.22,16.45,24.67,2.83,27.27,24.44,-5,3,8,12.34,32.9,45.23,0,4.98,21.69,-7,4,11,16.45,45.23,61.68,75,0,0,0,6.63,30.77,24.14,-5,4,9,16.45,37.01,53.46,75,0,0,5.07,33.33,28.26,-3,12.34,24.67,3,6,0,45.45,33.33,NA,33.33,0,0,0,0,0,NA,NA,0,0,100,100,40,0,0,40,2,8,3,4,2,0,0,0,0,0,0,0,0,14.59,45.38,24.33,18.86,17.94,39.87,53.19,43.24,65.21,52.67,46.36
"arvidvi9320142015","Viktor.Arvidsson","LR","NSH",6,20142015,21,"0.615","0.632",0,0,0,0,0,0,1,47.62,100.3,0,3.77,10.22,0,-16.41,36.36,52.78,-3,4,7,3.91,6.85,10.76,-8.13,47.5,55.63,-2,19,21,18.59,20.55,39.14,7,-5.6,53.22,-5,50,55,48.92,53.81,102.73,50,4,5,18,-3.3,51.35,54.65,2,38,36,37.18,35.22,72.4,65.79,5,14,-5.74,48.08,53.82,-2,24.46,26.42,25,27,9,50.91,25,-4.55,54.55,0.98,0.98,1,1,0,50,0,4,2.63,96.3,97.22,40,0,0,54,27,10,23,3,8,0,0,9,3,3,0,1,0.98,61.33,304.04,16.78,17.36,16.88,53.21,46.95,57.91,50.93,51.32,57.98
"ashtoca9120142015","Carter.Ashton","L","TOR",7,20142015,23,"0.851","0.851",0,0,0,0,0,0,1,39.19,88.46,0,3.26,6.37,3,-7.72,37.5,45.22,-4,6,10,8.08,13.46,21.54,-3.16,37.14,40.3,-9,13,22,17.5,29.61,47.11,5,-3.42,42.61,-16,29,45,39.04,60.57,99.61,48.28,2,3,7,-1.87,40,41.87,-11,22,33,29.61,44.42,74.03,63.64,1,5,-7.96,35,42.96,-12,18.84,35,14,26,4,42.22,21.21,-45.95,45.95,0,4.04,0,3,-3,0,0,0,0,88.46,90.91,36,1,4,41.67,10,19,14,6,11,0,0,4,1,2,0,1,1.35,44.58,375.04,10.62,16.72,16.4,45.61,50.94,50.06,59.71,54.04,52.04
"atkinca8920142015","Cam.Atkinson","R","CBJ",78,20142015,25,"1.175","1.150",22,18,40,1,0.82,1.83,-2,52.54,100.87,10.38,14.53,16.85,111,7.71,54.98,47.27,54,298,244,13.6,11.14,24.74,8.95,54.29,45.34,109,690,581,31.5,26.52,58.02,246,7.71,44.83,128,1323,1195,60.39,54.55,114.94,56.08,62,39,337,7.73,52.09,44.36,80,999,919,45.6,41.95,87.55,74.27,63,275,8.32,52.22,43.9,63,33.87,30.99,742,679,212,43.18,26.12,9.32,45.72,2.74,2.24,60,49,11,55.05,8,8.09,6.01,92.78,94.67,41.38,4,5,57.09,495,493,372,55,57,9,9,190,22,40,11,9,-0.09,1314.46,3433.32,27.69,18.53,17.66,48.53,50.13,52.51,55.68,54.63,54.36
"aulieke8920142015","Keith.Aulie","D","EDM",31,20142015,25,"0.800","0.800",0,1,1,0,0.13,0.13,-10,42.48,98.1,0,-9.94,14.4,4,-4.3,41,45.3,-36,82,118,11.02,15.86,26.88,-7.17,41.91,49.08,-71,184,255,24.73,34.27,59,13,-6.58,49.06,-124,350,474,47.04,63.71,110.75,51.71,19,37,59,-5.85,42.52,48.37,-90,256,346,34.41,46.5,80.91,70.7,15,40,-4.69,44.25,48.94,-47,24.33,30.64,181,228,25,51.9,34.1,-1.55,41.55,2.42,3.63,18,27,-9,40,0,9.94,7.03,88.16,92.2,40,0,0,42.7,117,139,157,59,67,0,1,25,12,4,12,2,-1.34,446.42,1435.31,23.72,16.09,17.05,47.3,49.82,51.18,57.02,54.14,54.53
"backeda8420142015","David.Backes","RC","STL",86,20142015,30,"4.750","4.500",27,33,60,1,1.22,2.22,-3,52.07,101.13,13.99,-9.54,18.84,99,3.87,56.14,52.27,72,329,257,12.18,9.52,21.7,-1.66,51.5,53.16,44,756,712,28,26.37,54.37,183,-0.06,52.13,126,1586,1460,58.74,54.07,112.81,55.36,47,92,320,1.52,54.27,52.75,192,1219,1027,45.15,38.03,83.18,72.03,80,273,2.31,54.81,52.5,154,32.52,26.81,878,724,193,50.41,29.5,5.77,51.71,3.56,2.63,96,71,25,57.49,9.89,10.93,7.88,90.19,93.09,54.05,679,572,43.86,614,611,786,247,121,18,15,166,31,38,20,17,-0.11,1620.09,3612.45,30.96,18.58,17.81,51.78,50.3,56.01,52.17,54.87,54.21
"backlmi8920142015","Mikael.Backlund","C","CGY",63,20142015,25,"1.500","1.500",11,18,29,0.59,0.97,1.56,-5,47.43,99.41,8.27,-8.63,17.75,61,4.91,51.33,46.42,11,213,202,11.43,10.84,22.26,2.75,48.74,45.98,-25,483,508,25.91,27.25,53.17,147,1.99,45.44,-106,978,1084,52.47,58.16,110.62,49.9,60,41,240,2.65,48.85,46.2,-33,698,731,37.45,39.22,76.66,69.91,47,180,2.21,48.46,46.25,-31,26.18,27.84,488,519,133,52.12,29,-6.42,53.36,2.47,2.79,46,52,-6,46.94,6.11,9.43,6.59,89.98,92.89,47.72,494,538,41.21,326,373,465,53,60,8,10,122,50,81,9,4,-0.27,1118.38,2710.78,29.21,18.59,17.45,45.07,50.62,49.92,60.84,55.08,53.73
"backsni8720142015","Nicklas.Backstrom","C","WSH",96,20142015,26,"6.500","6.700",21,65,86,0.63,1.94,2.57,-3,57.09,100.8,11.86,12.68,20.95,74,5.05,52.48,47.43,35,370,335,11.04,10,21.03,9.75,57.21,47.46,268,1063,795,31.72,23.72,55.44,192,10.28,46.81,574,2310,1736,68.92,51.8,120.72,50.26,67,69,335,10.92,57.76,46.84,460,1712,1252,51.08,37.35,88.43,67.82,91,268,10.53,57.31,46.77,296,34.64,25.81,1161,865,177,50.17,30.91,9.13,50.17,3.52,2.42,118,81,37,59.3,7.84,10.16,6.89,90.64,93.53,54.23,1044,876,58.79,923,650,647,116,128,31,34,156,46,71,20,17,-0.09,2010.98,3851.58,34.3,18.7,17.8,50.36,50.22,55.62,54.82,54.95,54.47
"baertsv9220142015","Sven.Baertschi","LR","CGY/VAN",20,20142015,21,"0.833","0.894",2,4,6,0.61,1.22,1.83,-2,44.25,99.86,13.33,1,9.81,9,-13.03,40.91,53.94,-12,27,39,8.26,11.93,20.18,-8.57,41.9,50.47,-29,75,104,22.94,31.81,54.74,15,-4.77,49.02,-40,154,194,47.1,59.33,106.43,50,8,8,28,-7.8,43.1,50.9,-33,103,136,31.5,41.59,73.09,74.76,5,20,-5.72,45.29,51.01,-16,23.55,28.44,77,93,15,52.06,31.62,-14.83,59.83,2.75,3.36,9,11,-2,45,10,11.69,8.74,88.17,91.91,40,0,0,50,51,71,51,9,14,4,0,13,5,7,5,3,-0.61,196.19,1019.72,16.14,17.19,17.17,46.71,49.35,50.6,57.73,53.75,55.17
"baileca9120142015","Casey.Bailey","C","TOR",6,20142015,22,"0.900","0.912",1,0,1,1.13,0,1.13,0,51.22,102.14,11.11,11.64,8.88,2,6.63,47.06,40.43,-1,8,9,9.01,10.13,19.14,13.92,55.81,41.9,5,24,19,27.02,21.39,48.41,7,7.73,43.49,2,42,40,47.28,45.03,92.31,66.67,1,4,11,11.05,53.85,42.8,5,35,30,39.4,33.77,73.17,80,1,10,15.97,58.33,42.36,8,31.52,22.51,28,20,9,50,33.33,35.9,30.77,2.25,1.13,2,1,1,66.67,10,7.14,5.71,95,96.67,40,0,0,58.62,17,13,12,3,7,0,0,8,1,1,1,1,0,53.3,321.27,14.23,16.61,16.78,46.69,48.15,50.22,57.33,51.22,55.16
"bailejo8920142015","Josh.Bailey","RL","NYI",77,20142015,24,"3.100","3.300",17,29,46,0.8,1.36,2.16,7,54.91,99.56,11.18,17.6,16.63,81,2.84,58.62,55.78,100,340,240,15.93,11.25,27.18,2.72,55.82,53.1,157,753,596,35.29,27.93,63.22,176,2.94,51.98,260,1453,1193,68.09,55.9,123.99,53.34,83,39,287,2.37,55.89,53.52,223,1058,835,49.58,39.13,88.71,73.25,52,204,2.36,55.88,53.52,163,36.32,28.68,775,612,152,48.7,26.71,2.87,51.82,3.28,2.72,70,58,12,54.69,8.33,9.03,6.62,90.52,93.05,43.18,30,38,66.07,518,358,266,73,89,16,13,135,51,58,4,11,0.33,1280.39,3424.62,27.21,18.48,17.77,53.14,50.19,61.8,54.5,54.29,53.88
"ballake8220142015","Keith.Ballard","D","MIN",14,20142015,31,"2.000","1.500",0,1,1,0,0.35,0.35,-2,42.81,100.48,0,-6.63,12.24,1,-12.62,44.83,57.45,-6,26,32,9.1,11.2,20.3,-14.05,41.51,55.56,-27,66,93,23.1,32.55,55.65,4,-13.36,56.17,-44,131,175,45.85,61.25,107.11,51.15,3,20,10,-14.29,42.53,56.83,-33,94,127,32.9,44.45,77.36,71.28,2,7,-16.06,41.1,57.17,-29,23.45,33.6,67,96,5,45.14,24.41,-9.75,51.85,2.8,3.85,8,11,-3,42.11,0,11.94,8.51,88.54,91.34,40,0,0,43.69,45,45,58,15,20,0,1,5,5,2,6,4,-0.7,171.42,672.84,20.3,15.45,16.93,51.61,49.14,52.62,49.32,53.14,54.99
"barbema9020142015","Mark.Barberio","D","T.B",53,20142015,24,"0.874","0.874",1,6,7,0.07,0.4,0.47,-3,50.73,98.18,1.85,-1.15,16.79,9,-1.06,52.23,53.28,15,176,161,11.87,10.85,22.72,1.16,53.56,52.41,58,436,378,29.39,25.48,54.88,30,-0.52,51.25,23,796,773,53.66,52.11,105.78,53.64,43,46,125,-1.1,49.83,50.93,-4,585,589,39.44,39.71,79.15,72.99,28,82,-0.45,50.53,50.98,9,28.79,28.18,427,418,54,45.92,29.03,-11.4,55.84,1.89,2.36,28,35,-7,44.44,1.22,6.56,4.79,91.63,94.06,40,0,0,51.69,230,305,215,35,66,2,4,53,20,13,8,5,-0.2,889.98,2319.88,27.73,16.29,16.98,53.01,49.22,56.03,49.67,52.87,54.55
"barkoal9520142015","Aleksander.Barkov","C","FLA",71,20142015,19,"0.925","0.925",16,20,36,0.79,0.98,1.77,2,56.29,99.36,13.01,8.98,17.19,50,10.54,57.22,46.68,53,210,157,10.32,7.72,18.04,10.25,57.79,47.55,147,545,398,26.79,19.57,46.36,124,7.94,48.36,268,1199,931,58.95,45.77,104.72,55.71,40,35,199,7.28,55.48,48.2,176,891,715,43.81,35.15,78.96,74.97,36,159,8.12,56.71,48.59,158,32.84,25.07,668,510,123,45.22,28.67,9.82,45.08,2.75,2.26,56,46,10,54.9,10.06,8.38,6.29,90.98,93.57,45.99,462,540,56.86,464,435,352,35,133,9,11,107,27,42,8,10,0.1,1220.39,3122.42,28.1,18.22,17.53,51.9,49.92,54.52,50.53,54.42,54.6
"barrity9120142015","Tyson.Barrie","D","COL",80,20142015,23,"2.000","2.600",12,41,53,0.43,1.45,1.88,-3,51.53,101.92,8.63,17.81,21.16,26,14.13,52.29,38.16,32,365,333,12.94,11.8,24.74,12.15,52.71,40.56,87,847,760,30.02,26.94,56.96,103,11.55,39.99,98,1646,1548,58.34,54.87,113.22,55.22,110,90,312,11.39,52.06,40.67,96,1213,1117,43,39.59,82.59,74.94,63,202,12.02,53.57,41.54,121,32.22,27.93,909,788,139,49.1,29.45,15.93,42.17,3.69,2.66,104,75,29,58.1,5.94,11.44,8.57,90.48,93.29,40,0,0,58.5,640,467,454,80,138,18,23,127,47,40,13,10,-0.11,1692.7,3194.24,34.64,16.36,17.16,44.32,50.08,48.37,60.75,54.27,54.09
"bartkma8820142015","Matt.Bartkowski","D","BOS",47,20142015,26,"1.250","1.250",0,4,4,0,0.3,0.3,-1,48.25,97.92,0,-3.42,16.78,4,-9.43,45.28,54.71,-24,115,139,8.75,10.57,19.32,-7.79,46.32,54.11,-44,277,321,21.07,24.42,45.49,28,-6.03,54.28,-47,648,695,49.3,52.87,102.17,54.94,33,24,143,-5.43,47.68,53.11,-49,504,553,38.34,42.07,80.41,70.63,43,110,-5.95,46.6,52.55,-52,27.08,31.04,356,408,67,41.29,26.22,-13.37,53.37,1.83,2.74,24,36,-12,40,0,6.74,4.76,91.18,93.49,40,0,0,47.95,222,235,241,88,56,4,0,67,25,6,6,5,-0.08,788.71,2096.32,27.34,16.55,17.06,51.27,49.84,55.02,52.3,53.69,54.03
