Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Sam Gagner,PHI,48,,14,,24,,38,,-6,,23,,35,,22,,325,,416,,0.439,,4,,11,,0,,2,,1,,113,,0.124
Logan Couture,SAN,48,,21,,16,,37,,7,,4,,32,,51,,252,,237,,0.515,,7,,5,,0,,1,,5,,151,,0.139
Jordan Eberle,EDM,48,,16,,21,,37,,-4,,16,,31,,16,,8,,11,,0.421,,3,,6,,0,,0,,3,,133,,0.12
Mikko Koivu,MIN,48,,11,,26,,37,,2,,26,,47,,18,,524,,447,,0.54,,0,,13,,0,,0,,3,,127,,0.087
Teddy Purcell,EDM,48,,11,,25,,36,,-1,,12,,11,,7,,2,,4,,0.333,,3,,10,,0,,0,,2,,94,,0.117
Corey Perry,ANA,44,,15,,21,,36,,10,,72,,49,,18,,6,,23,,0.207,,5,,5,,0,,1,,5,,128,,0.117
Patrik Elias,NJD,48,,14,,22,,36,,5,,22,,20,,14,,71,,92,,0.436,,5,,9,,1,,0,,0,,118,,0.119
Chris Stewart,ANA,48,,18,,18,,36,,0,,40,,41,,13,,8,,19,,0.296,,6,,6,,0,,0,,3,,97,,0.186
Brad Marchand,BOS,45,,18,,18,,36,,23,,27,,38,,20,,6,,6,,0.5,,4,,0,,2,,0,,5,,91,,0.198
James Neal,NAS,40,,21,,15,,36,,5,,26,,56,,17,,1,,5,,0.167,,9,,7,,0,,0,,6,,136,,0.154
Brad Boyes,TOR,48,,10,,25,,35,,-6,,16,,44,,20,,4,,12,,0.25,,1,,12,,0,,0,,1,,97,,0.103
Jaromir Jagr,FLA,45,,16,,19,,35,,-2,,22,,13,,10,,0,,1,,0,,6,,5,,0,,0,,4,,115,,0.139
Michael Ryder,NJD,46,,16,,19,,35,,2,,16,,35,,16,,3,,6,,0.333,,8,,9,,0,,0,,5,,101,,0.158
Tomas Fleischmann,MON,48,,12,,23,,35,,-10,,16,,29,,10,,10,,10,,0.5,,2,,11,,1,,0,,2,,121,,0.099
Jason Pominville,MIN,47,,14,,20,,34,,1,,8,,21,,35,,51,,54,,0.486,,2,,7,,1,,0,,2,,118,,0.119
Cody Hodgson,NAS,48,,15,,19,,34,,-4,,20,,21,,24,,380,,432,,0.468,,3,,2,,1,,1,,1,,114,,0.132
Brad Richards,DET,46,,11,,23,,34,,8,,14,,25,,43,,391,,382,,0.506,,3,,6,,0,,0,,1,,110,,0.1
Evander Kane,BUF,48,,17,,16,,33,,-3,,80,,147,,22,,13,,20,,0.394,,2,,2,,0,,0,,4,,190,,0.089
Jamie Benn,DAL,41,,12,,21,,33,,-12,,40,,71,,32,,327,,382,,0.461,,3,,7,,0,,0,,3,,110,,0.109
David Krejci,BOS,47,,10,,23,,33,,1,,20,,41,,27,,361,,293,,0.552,,0,,7,,0,,0,,5,,93,,0.108
Tomas Plekanec,MON,47,,14,,19,,33,,3,,24,,26,,17,,486,,475,,0.506,,4,,11,,0,,0,,2,,133,,0.105
Justin Williams,WAS,48,,11,,22,,33,,15,,22,,29,,12,,2,,4,,0.333,,1,,5,,0,,0,,3,,142,,0.077
Evgeni Malkin,PIT,31,,9,,24,,33,,5,,36,,12,,11,,195,,218,,0.472,,4,,14,,0,,0,,3,,99,,0.091
Jarome Iginla,COL,44,,14,,19,,33,,-5,,31,,65,,13,,123,,124,,0.498,,6,,6,,0,,0,,3,,134,,0.104
Troy Brouwer,STL,47,,19,,14,,33,,-5,,28,,108,,23,,111,,121,,0.478,,7,,9,,1,,0,,5,,111,,0.171
Jeff Carter,LOS,48,,26,,7,,33,,0,,16,,25,,23,,202,,182,,0.526,,8,,2,,0,,0,,8,,133,,0.195
Wayne Simmonds,PHI,45,,15,,17,,32,,-7,,82,,72,,16,,2,,1,,0.667,,6,,10,,0,,0,,4,,110,,0.136
Tyler Seguin,DAL,48,,16,,16,,32,,23,,16,,25,,6,,22,,23,,0.489,,4,,2,,0,,0,,2,,161,,0.099
James van Riemsdyk,TOR,48,,18,,14,,32,,-7,,26,,55,,15,,24,,19,,0.558,,5,,1,,0,,0,,3,,140,,0.129
Mike Cammalleri,NJD,44,,13,,19,,32,,-15,,25,,20,,9,,253,,243,,0.51,,5,,10,,0,,0,,3,,102,,0.127
Ryan Suter,MIN,48,,4,,28,,32,,2,,24,,33,,74,,0,,0,,N/A,,3,,12,,0,,0,,1,,91,,0.044
Mike Richards,LOS,48,,12,,20,,32,,-8,,42,,58,,19,,216,,225,,0.49,,6,,9,,0,,0,,3,,82,,0.146
Bryan Little,WPG,48,,7,,25,,32,,8,,4,,32,,19,,431,,411,,0.512,,2,,3,,0,,1,,2,,84,,0.083
Lee Stempniak,NJD,47,,9,,23,,32,,2,,12,,47,,17,,3,,20,,0.13,,4,,2,,0,,4,,2,,113,,0.08
Patrice Bergeron,BOS,42,,10,,22,,32,,24,,18,,28,,25,,549,,335,,0.621,,2,,2,,0,,1,,3,,125,,0.08
Vincent Lecavalier,PHI,39,,10,,22,,32,,-5,,29,,74,,13,,404,,338,,0.544,,5,,4,,0,,0,,0,,86,,0.116
Joe Pavelski,SAN,48,,16,,15,,31,,2,,10,,48,,44,,342,,318,,0.518,,5,,6,,0,,1,,5,,130,,0.123
Jonathan Huberdeau,FLA,48,,14,,17,,31,,-15,,18,,33,,19,,11,,22,,0.333,,2,,7,,0,,0,,1,,112,,0.125
Marian Hossa,CHI,40,,17,,14,,31,,20,,16,,12,,13,,1,,2,,0.333,,4,,2,,1,,1,,6,,116,,0.147
Jordan Staal,CAR,48,,10,,21,,31,,-18,,32,,105,,20,,458,,456,,0.501,,1,,6,,0,,1,,1,,114,,0.088
Johan Franzen,DET,41,,14,,17,,31,,13,,41,,43,,17,,30,,32,,0.484,,6,,6,,0,,0,,1,,116,,0.121
Nail Yakupov,EDM,48,,17,,14,,31,,-4,,24,,41,,14,,0,,6,,0,,6,,4,,0,,0,,2,,81,,0.21
Ryan Callahan,TAM,45,,16,,15,,31,,9,,12,,154,,66,,14,,16,,0.467,,6,,2,,2,,1,,4,,144,,0.111
Ilya Kovalchuk,NJD,37,,11,,20,,31,,-6,,18,,13,,12,,7,,15,,0.318,,2,,12,,4,,0,,5,,123,,0.089
Tyler Ennis,BUF,47,,10,,21,,31,,-14,,16,,28,,25,,158,,219,,0.419,,2,,12,,0,,0,,0,,108,,0.093
Patrick Marleau,SAN,48,,17,,14,,31,,-2,,24,,38,,13,,71,,79,,0.473,,6,,8,,1,,0,,3,,150,,0.113
Keith Yandle,NYR,48,,10,,20,,30,,4,,54,,18,,40,,0,,0,,N/A,,5,,5,,0,,0,,3,,130,,0.077
Vinny Prospal,COB,48,,12,,18,,30,,3,,32,,37,,18,,4,,5,,0.444,,4,,3,,0,,0,,2,,85,,0.141
Andrei Markov,MON,48,,10,,20,,30,,-9,,14,,22,,60,,0,,0,,N/A,,8,,15,,0,,0,,4,,79,,0.127
Lars Eller,MON,46,,8,,22,,30,,8,,45,,86,,33,,267,,275,,0.493,,1,,4,,0,,0,,1,,84,,0.095
Bobby Ryan,OTT,46,,11,,19,,30,,3,,17,,80,,29,,25,,56,,0.309,,2,,4,,0,,0,,1,,101,,0.109
Cory Conacher,VAN,47,,11,,18,,29,,3,,20,,39,,9,,4,,11,,0.267,,1,,3,,0,,0,,3,,67,,0.164
Kimmo Timonen,CHI,45,,5,,24,,29,,3,,36,,31,,79,,0,,0,,N/A,,3,,14,,0,,0,,1,,78,,0.064
Dustin Brown,LOS,46,,18,,11,,29,,6,,22,,156,,8,,15,,26,,0.366,,8,,5,,0,,0,,1,,142,,0.127
Derick Brassard,NYR,47,,12,,17,,29,,1,,16,,83,,8,,215,,231,,0.482,,3,,8,,0,,0,,1,,88,,0.136
Niklas Kronwall,DET,48,,5,,24,,29,,-5,,44,,42,,83,,0,,0,,N/A,,2,,14,,0,,0,,2,,67,,0.075
Kyle Turris,OTT,48,,12,,17,,29,,6,,24,,30,,20,,451,,469,,0.49,,3,,6,,0,,0,,2,,118,,0.102
Frans Nielsen,NYI,48,,6,,23,,29,,-3,,12,,23,,47,,268,,290,,0.48,,2,,8,,1,,0,,1,,93,,0.065
Loui Eriksson,BOS,48,,12,,17,,29,,-9,,8,,6,,18,,9,,25,,0.265,,2,,8,,1,,0,,3,,104,,0.115
Cody Franson,BUF,45,,4,,25,,29,,4,,8,,124,,59,,0,,0,,N/A,,3,,10,,0,,0,,0,,70,,0.057
Ray Whitney,DAL,32,,11,,18,,29,,1,,4,,10,,14,,16,,35,,0.314,,4,,8,,0,,0,,1,,62,,0.177
Dion Phaneuf,TOR,48,,9,,19,,28,,-4,,65,,131,,91,,0,,0,,N/A,,3,,13,,0,,0,,1,,88,,0.102
David Desharnais,MON,48,,10,,18,,28,,-2,,26,,26,,18,,382,,382,,0.5,,2,,5,,0,,0,,3,,66,,0.152
Derek Roy,WAS,42,,7,,21,,28,,4,,6,,15,,30,,295,,352,,0.456,,2,,6,,0,,1,,1,,85,,0.082
Radim Vrbata,VAN,34,,12,,16,,28,,6,,14,,26,,14,,10,,22,,0.313,,2,,10,,1,,0,,1,,106,,0.113
David Backes,STL,48,,6,,22,,28,,5,,62,,158,,41,,477,,435,,0.523,,1,,4,,0,,1,,1,,100,,0.06
Brendan Gallagher,MON,44,,15,,13,,28,,10,,33,,44,,33,,8,,17,,0.32,,3,,1,,0,,0,,3,,117,,0.128
Dustin Byfuglien,WPG,43,,8,,20,,28,,-1,,34,,80,,47,,0,,0,,N/A,,4,,6,,0,,0,,2,,142,,0.056
Tyler Bozak,TOR,46,,12,,16,,28,,-1,,6,,65,,23,,559,,504,,0.526,,4,,5,,1,,0,,3,,61,,0.197
Shea Weber,NAS,48,,9,,19,,28,,-2,,48,,112,,90,,0,,0,,N/A,,3,,9,,0,,0,,1,,124,,0.073
Mark Letestu,EDM,46,,13,,14,,27,,7,,10,,36,,12,,244,,243,,0.501,,3,,2,,2,,0,,2,,92,,0.141
Brian Campbell,FLA,48,,8,,19,,27,,-22,,12,,14,,65,,0,,0,,N/A,,6,,11,,0,,0,,2,,70,,0.114
Justin Schultz,EDM,48,,8,,19,,27,,-17,,8,,15,,35,,0,,1,,0,,4,,11,,0,,0,,3,,85,,0.094
Alex Galchenyuk,MON,48,,9,,18,,27,,14,,20,,23,,25,,59,,79,,0.428,,0,,1,,0,,0,,2,,79,,0.114
Tomas Kopecky,CHI,47,,15,,12,,27,,-8,,28,,23,,25,,42,,44,,0.488,,4,,5,,1,,0,,0,,92,,0.163
Sergei Gonchar,PIT,45,,3,,24,,27,,4,,26,,25,,65,,0,,0,,N/A,,2,,10,,0,,0,,3,,85,,0.035
Brandon Saad,COB,46,,10,,17,,27,,17,,12,,41,,12,,17,,29,,0.37,,0,,3,,1,,0,,2,,98,,0.102
Jannik Hansen,VAN,47,,10,,17,,27,,12,,8,,55,,10,,3,,28,,0.097,,1,,2,,0,,0,,2,,99,,0.101
Alex Goligoski,DAL,47,,3,,24,,27,,4,,18,,56,,66,,0,,0,,N/A,,0,,11,,0,,1,,0,,80,,0.038
Matt Cullen,PIT,42,,7,,20,,27,,9,,10,,18,,18,,245,,203,,0.547,,0,,4,,0,,0,,0,,79,,0.089
Duncan Keith,CHI,47,,3,,24,,27,,16,,31,,19,,66,,0,,0,,N/A,,2,,8,,0,,1,,0,,91,,0.033
Alex Tanguay,COL,40,,11,,16,,27,,-13,,22,,24,,28,,68,,105,,0.393,,2,,7,,1,,0,,1,,44,,0.25
Devin Setoguchi,TOR,48,,13,,14,,27,,5,,20,,92,,19,,7,,10,,0.412,,5,,1,,0,,0,,3,,97,,0.134
Jiri Hudler,CGY,42,,10,,17,,27,,-13,,22,,16,,5,,10,,21,,0.323,,5,,3,,0,,0,,0,,56,,0.179
Mark Streit,PHI,48,,6,,21,,27,,-14,,22,,34,,86,,0,,0,,N/A,,3,,8,,0,,0,,1,,83,,0.072
Saku Koivu,ANA,47,,8,,19,,27,,4,,18,,31,,15,,437,,414,,0.514,,4,,4,,0,,0,,0,,55,,0.145
Marian Gaborik,LOS,47,,12,,15,,27,,-3,,14,,21,,18,,1,,2,,0.333,,1,,8,,0,,0,,5,,151,,0.079
Alexander Steen,STL,40,,8,,19,,27,,5,,14,,28,,22,,94,,110,,0.461,,3,,6,,0,,0,,3,,129,,0.062
Milan Lucic,LOS,46,,7,,20,,27,,8,,75,,139,,16,,17,,18,,0.486,,0,,2,,0,,0,,0,,79,,0.089
Shane Doan,ARI,48,,13,,14,,27,,6,,37,,118,,10,,4,,11,,0.267,,0,,3,,0,,0,,2,,129,,0.101
Curtis Glencross,COL,40,,15,,11,,26,,-8,,18,,49,,14,,20,,26,,0.435,,3,,3,,1,,0,,3,,92,,0.163
Mike Green,DET,35,,12,,14,,26,,-3,,20,,36,,61,,0,,0,,N/A,,4,,10,,0,,0,,2,,96,,0.125
Mikkel Boedker,ARI,48,,7,,19,,26,,0,,12,,77,,17,,1,,10,,0.091,,3,,4,,0,,0,,2,,83,,0.084
Damien Brunner,NJD,44,,12,,14,,26,,-6,,12,,20,,2,,2,,3,,0.4,,3,,7,,0,,0,,1,,123,,0.098
Daniel Alfredsson,OTT,47,,10,,16,,26,,1,,33,,28,,30,,16,,22,,0.421,,3,,8,,0,,1,,2,,101,,0.099
Brayden Schenn,PHI,47,,8,,18,,26,,-8,,24,,109,,22,,206,,247,,0.455,,2,,8,,0,,0,,0,,79,,0.101
Brian Gionta,BUF,48,,14,,12,,26,,3,,8,,37,,23,,14,,28,,0.333,,5,,2,,0,,0,,3,,112,,0.125
Slava Voynov,LOS,48,,6,,19,,25,,5,,14,,83,,48,,2,,0,,1,,1,,7,,0,,0,,2,,79,,0.076
David Legwand,BUF,48,,12,,13,,25,,-6,,20,,20,,20,,362,,359,,0.502,,2,,2,,0,,0,,2,,78,,0.154
Patrik Berglund,STL,48,,17,,8,,25,,-2,,12,,53,,24,,279,,324,,0.463,,5,,1,,2,,0,,3,,74,,0.23
Brenden Morrow,TAM,44,,12,,13,,25,,-3,,37,,85,,20,,13,,11,,0.542,,2,,2,,0,,0,,2,,55,,0.218
David Perron,PIT,48,,10,,15,,25,,0,,44,,48,,11,,8,,14,,0.364,,2,,4,,0,,0,,2,,84,,0.119
Kyle Okposo,NYI,48,,4,,20,,24,,-2,,38,,48,,21,,104,,82,,0.559,,0,,3,,0,,0,,0,,101,,0.04
Francois Beauchemin,COL,48,,6,,18,,24,,19,,22,,81,,111,,0,,0,,N/A,,1,,7,,0,,0,,0,,74,,0.081
Alex Pietrangelo,STL,47,,5,,19,,24,,0,,10,,24,,101,,0,,0,,N/A,,2,,4,,0,,1,,0,,93,,0.054
Cody Eakin,DAL,48,,7,,17,,24,,1,,31,,71,,29,,304,,322,,0.486,,3,,0,,0,,0,,1,,67,,0.104
Ryan Nugent-Hopkins,EDM,40,,4,,20,,24,,3,,8,,27,,27,,226,,325,,0.41,,2,,9,,0,,0,,0,,78,,0.051
Paul Stastny,STL,40,,9,,15,,24,,-7,,14,,21,,29,,409,,372,,0.524,,2,,8,,0,,0,,1,,87,,0.103
Jeff Skinner,CAR,42,,13,,11,,24,,-21,,26,,21,,11,,21,,23,,0.477,,5,,4,,0,,0,,0,,159,,0.082
Matt Read,PHI,42,,11,,13,,24,,1,,2,,49,,32,,14,,34,,0.292,,1,,2,,0,,0,,2,,72,,0.153
Teemu Selanne,ANA,46,,12,,12,,24,,-10,,28,,8,,10,,85,,83,,0.506,,3,,4,,0,,0,,1,,96,,0.125
Oliver Ekman-Larsson,ARI,48,,3,,21,,24,,5,,26,,73,,40,,0,,0,,N/A,,0,,8,,0,,0,,1,,101,,0.03
David Clarkson,COB,48,,15,,9,,24,,-6,,78,,84,,6,,6,,19,,0.24,,6,,2,,0,,0,,5,,180,,0.083
Steve Ott,STL,48,,9,,15,,24,,3,,93,,187,,21,,298,,237,,0.557,,2,,1,,0,,2,,3,,73,,0.123
Alexandre Burrows,VAN,47,,13,,11,,24,,15,,54,,52,,15,,48,,60,,0.444,,1,,2,,0,,0,,2,,140,,0.093
Dan Hamhuis,VAN,47,,4,,20,,24,,9,,12,,47,,63,,0,,0,,N/A,,0,,6,,1,,0,,0,,61,,0.066
Martin Erat,ARI,45,,5,,19,,24,,-7,,30,,48,,12,,32,,30,,0.516,,1,,7,,0,,0,,2,,69,,0.072
Carl Hagelin,ANA,48,,10,,14,,24,,10,,18,,49,,28,,7,,10,,0.412,,1,,0,,0,,0,,1,,132,,0.076
Paul Martin,SAN,34,,6,,17,,23,,14,,16,,17,,50,,0,,0,,N/A,,2,,7,,0,,0,,1,,38,,0.158
Viktor Stalberg,NYR,47,,9,,14,,23,,16,,25,,43,,14,,0,,1,,0,,0,,2,,0,,0,,1,,113,,0.08
Matt Stajan,CGY,43,,5,,18,,23,,7,,26,,47,,30,,356,,414,,0.462,,0,,0,,0,,0,,1,,44,,0.114
Nikolay Kulemin,NYI,48,,7,,16,,23,,-5,,22,,122,,47,,10,,10,,0.5,,0,,0,,0,,0,,0,,72,,0.097
Bryan Bickell,CHI,48,,9,,14,,23,,12,,25,,108,,13,,2,,4,,0.333,,0,,0,,0,,0,,2,,82,,0.11
Kevin Shattenkirk,STL,48,,5,,18,,23,,2,,20,,55,,59,,0,,0,,N/A,,2,,7,,0,,0,,0,,84,,0.06
Martin Hanzal,ARI,39,,11,,12,,23,,2,,24,,100,,17,,298,,339,,0.468,,4,,3,,0,,1,,2,,93,,0.118
Andrew Cogliano,ANA,48,,13,,10,,23,,14,,6,,40,,24,,32,,60,,0.348,,0,,0,,2,,0,,1,,79,,0.165
Drew Doughty,LOS,48,,6,,16,,22,,4,,36,,128,,46,,0,,0,,N/A,,3,,7,,0,,0,,0,,114,,0.053
Jay Bouwmeester,STL,47,,7,,15,,22,,-6,,22,,41,,61,,0,,0,,N/A,,1,,6,,0,,2,,0,,79,,0.089
Jussi Jokinen,FLA,43,,13,,9,,22,,-5,,24,,17,,22,,250,,182,,0.579,,3,,4,,0,,0,,3,,74,,0.176
Christian Ehrhoff,LOS,47,,5,,17,,22,,6,,34,,38,,81,,0,,0,,N/A,,1,,8,,0,,0,,2,,102,,0.049
Matthew Carle,TAM,48,,5,,17,,22,,1,,4,,32,,87,,0,,0,,N/A,,2,,3,,0,,0,,0,,66,,0.076
Nathan Horton,TOR,43,,13,,9,,22,,1,,22,,41,,10,,5,,5,,0.5,,0,,1,,0,,0,,1,,114,,0.114
Alexander Edler,VAN,45,,8,,14,,22,,-5,,37,,77,,81,,1,,0,,1,,5,,5,,0,,0,,0,,113,,0.071
Marcus Johansson,WAS,34,,6,,16,,22,,3,,4,,14,,6,,40,,47,,0.46,,3,,1,,0,,1,,1,,40,,0.15
Fedor Tyutin,COB,48,,4,,18,,22,,9,,28,,58,,58,,1,,0,,1,,0,,5,,0,,1,,1,,56,,0.071
John Carlson,WAS,48,,6,,16,,22,,11,,18,,59,,123,,1,,0,,1,,0,,5,,0,,0,,0,,97,,0.062
Dennis Wideman,CGY,46,,6,,16,,22,,-9,,12,,40,,100,,0,,1,,0,,4,,9,,0,,1,,1,,94,,0.064
Jamie McGinn,BUF,47,,11,,11,,22,,-13,,26,,82,,16,,3,,3,,0.5,,3,,4,,0,,0,,2,,128,,0.086
Mason Raymond,CGY,46,,10,,12,,22,,2,,16,,18,,8,,17,,33,,0.34,,4,,2,,0,,0,,1,,79,,0.127
Dany Heatley,FLA,36,,11,,10,,21,,-12,,8,,26,,22,,12,,19,,0.387,,3,,4,,0,,0,,1,,83,,0.133
Michael Grabner,TOR,45,,16,,5,,21,,4,,12,,16,,19,,10,,12,,0.455,,2,,1,,1,,0,,3,,108,,0.148
Andy McDonald,STL,37,,7,,14,,21,,-2,,16,,10,,13,,95,,103,,0.48,,1,,6,,0,,0,,2,,86,,0.081
Shawn Matthias,TOR,48,,14,,7,,21,,-8,,16,,66,,21,,153,,194,,0.441,,2,,1,,1,,0,,1,,106,,0.132
Matt Cooke,MIN,48,,8,,13,,21,,-2,,36,,97,,41,,3,,11,,0.214,,0,,0,,0,,0,,1,,61,,0.131
Mike Fisher,NAS,38,,10,,11,,21,,6,,27,,67,,46,,275,,288,,0.488,,1,,5,,0,,0,,0,,68,,0.147
Michael Del Zotto,PHI,46,,3,,18,,21,,6,,18,,77,,64,,0,,0,,N/A,,0,,8,,1,,0,,0,,81,,0.037
Kyle Palmieri,NJD,42,,10,,11,,21,,2,,9,,48,,10,,1,,11,,0.083,,2,,1,,0,,0,,5,,92,,0.109
Antoine Vermette,ARI,48,,13,,8,,21,,-3,,36,,63,,35,,482,,357,,0.574,,3,,0,,0,,0,,3,,91,,0.143
Brent Burns,SAN,30,,9,,11,,20,,0,,20,,54,,13,,4,,9,,0.308,,2,,1,,0,,0,,0,,81,,0.111
Benoit Pouliot,EDM,34,,8,,12,,20,,8,,15,,35,,6,,10,,21,,0.323,,0,,3,,0,,0,,1,,60,,0.133
Brandon Dubinsky,COB,29,,2,,18,,20,,2,,76,,64,,17,,256,,183,,0.583,,1,,6,,0,,1,,0,,50,,0.04
Brent Seabrook,CHI,47,,8,,12,,20,,12,,23,,106,,103,,0,,0,,N/A,,3,,4,,0,,0,,1,,65,,0.123
T.J. Oshie,WAS,30,,7,,13,,20,,-5,,15,,33,,24,,5,,8,,0.385,,2,,8,,1,,1,,1,,65,,0.108
Travis Zajac,NJD,48,,7,,13,,20,,-5,,22,,33,,10,,506,,375,,0.574,,1,,3,,1,,0,,1,,82,,0.085
Ales Hemsky,DAL,38,,9,,11,,20,,-6,,16,,11,,9,,12,,12,,0.5,,5,,4,,0,,0,,1,,82,,0.11
Patrick Sharp,DAL,28,,6,,14,,20,,8,,14,,26,,12,,40,,22,,0.645,,1,,6,,0,,0,,1,,88,,0.068
David Moss,ARI,45,,5,,15,,20,,3,,21,,73,,34,,9,,22,,0.29,,1,,1,,1,,0,,0,,82,,0.061
Ryan O'Reilly,BUF,29,,6,,14,,20,,-3,,4,,7,,14,,241,,215,,0.529,,3,,3,,0,,0,,0,,66,,0.091
Dan Boyle,NYR,46,,7,,13,,20,,3,,27,,29,,81,,0,,0,,N/A,,5,,8,,0,,1,,0,,97,,0.072
