Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Martin St. Louis,NYR,48,,17,,43,,60,,0,,14,,23,,32,,12,,16,,0.429,,3,,17,,0,,0,,2,,112,,0.152
Steven Stamkos,TAM,48,,29,,28,,57,,-4,,32,,63,,17,,406,,413,,0.496,,10,,8,,0,,0,,2,,157,,0.185
Sidney Crosby,PIT,36,,15,,41,,56,,26,,16,,21,,18,,453,,381,,0.543,,3,,14,,0,,0,,1,,124,,0.121
Alex Ovechkin,WAS,48,,32,,24,,56,,2,,36,,120,,18,,0,,1,,0,,16,,11,,0,,0,,4,,220,,0.145
Patrick Kane,CHI,47,,23,,32,,55,,11,,8,,11,,9,,2,,8,,0.2,,8,,9,,0,,0,,3,,138,,0.167
Eric Staal,CAR,48,,18,,35,,53,,5,,54,,35,,24,,527,,487,,0.52,,3,,6,,1,,0,,4,,152,,0.118
Phil Kessel,PIT,48,,20,,32,,52,,-3,,18,,16,,23,,5,,3,,0.625,,6,,15,,0,,0,,4,,161,,0.124
Chris Kunitz,PIT,48,,22,,30,,52,,30,,39,,104,,13,,4,,5,,0.444,,9,,7,,0,,0,,5,,113,,0.195
Taylor Hall,EDM,45,,16,,34,,50,,5,,33,,24,,20,,29,,24,,0.547,,4,,10,,0,,0,,4,,154,,0.104
Ryan Getzlaf,ANA,44,,15,,34,,49,,14,,41,,89,,42,,355,,384,,0.48,,4,,11,,3,,0,,3,,99,,0.152
Mike Ribeiro,NAS,48,,13,,36,,49,,-4,,53,,55,,29,,226,,279,,0.448,,6,,21,,0,,0,,1,,63,,0.206
Pavel Datsyuk,DET,47,,15,,34,,49,,21,,14,,31,,30,,488,,399,,0.55,,8,,8,,0,,3,,6,,107,,0.14
Nicklas Backstrom,WAS,48,,8,,40,,48,,8,,20,,31,,35,,432,,408,,0.514,,3,,15,,0,,0,,1,,82,,0.098
Claude Giroux,PHI,48,,13,,35,,48,,-7,,22,,57,,29,,644,,538,,0.545,,6,,15,,1,,0,,2,,137,,0.095
Jonathan Toews,CHI,47,,23,,25,,48,,28,,27,,24,,16,,559,,374,,0.599,,2,,4,,2,,1,,5,,143,,0.161
Henrik Zetterberg,DET,46,,11,,37,,48,,2,,18,,20,,10,,263,,281,,0.483,,4,,19,,2,,0,,5,,173,,0.064
John Tavares,NYI,48,,28,,19,,47,,-2,,18,,33,,22,,459,,471,,0.494,,9,,7,,0,,0,,5,,162,,0.173
Andrew Ladd,WPG,48,,18,,28,,46,,10,,22,,98,,26,,29,,25,,0.537,,3,,3,,0,,0,,4,,121,,0.149
Jakub Voracek,PHI,48,,22,,24,,46,,-7,,35,,20,,12,,2,,3,,0.4,,8,,9,,0,,0,,3,,129,,0.171
Henrik Sedin,VAN,48,,11,,34,,45,,19,,24,,22,,9,,440,,451,,0.494,,1,,12,,1,,0,,1,,70,,0.157
Matt Moulson,BUF,47,,15,,29,,44,,-3,,4,,24,,28,,1,,0,,1,,8,,7,,0,,0,,0,,154,,0.097
Nazem Kadri,TOR,48,,18,,26,,44,,15,,23,,62,,22,,250,,315,,0.442,,5,,3,,0,,0,,1,,107,,0.168
Derek Stepan,NYR,48,,18,,26,,44,,25,,12,,52,,28,,448,,529,,0.459,,4,,6,,1,,3,,6,,108,,0.167
Alexander Semin,MON,44,,13,,31,,44,,14,,46,,14,,21,,5,,16,,0.238,,4,,5,,0,,1,,1,,150,,0.087
Matt Duchene,COL,47,,17,,26,,43,,-12,,12,,48,,47,,488,,405,,0.546,,2,,7,,0,,1,,3,,132,,0.129
Pierre-Alexandr Parenteau,TOR,48,,18,,25,,43,,-11,,38,,50,,14,,1,,12,,0.077,,6,,7,,0,,0,,1,,105,,0.171
Rick Nash,NYR,44,,21,,21,,42,,16,,26,,46,,25,,5,,7,,0.417,,3,,6,,1,,0,,3,,176,,0.119
Anze Kopitar,LOS,47,,10,,32,,42,,14,,16,,70,,25,,473,,415,,0.533,,0,,16,,0,,0,,1,,98,,0.102
Blake Wheeler,WPG,48,,19,,22,,41,,-3,,28,,90,,39,,4,,14,,0.222,,2,,5,,0,,0,,2,,129,,0.147
Thomas Vanek,MIN,38,,20,,21,,41,,-1,,20,,13,,4,,8,,4,,0.667,,9,,5,,1,,0,,2,,119,,0.168
Daniel Sedin,VAN,47,,12,,28,,40,,12,,18,,15,,7,,3,,4,,0.429,,3,,9,,0,,0,,3,,138,,0.087
Joe Thornton,SAN,48,,7,,33,,40,,6,,26,,23,,21,,410,,291,,0.585,,2,,19,,0,,0,,1,,85,,0.082
Max Pacioretty,MON,44,,15,,24,,39,,8,,28,,59,,16,,2,,5,,0.286,,4,,8,,0,,0,,0,,163,,0.092
Zach Parise,MIN,48,,18,,20,,38,,2,,16,,59,,41,,3,,6,,0.333,,7,,6,,0,,0,,4,,182,,0.099
Kris Letang,PIT,35,,5,,33,,38,,16,,8,,45,,59,,0,,0,,N/A,,1,,12,,0,,0,,1,,95,,0.053
Pascal Dupuis,PIT,48,,20,,18,,38,,31,,26,,83,,36,,27,,30,,0.474,,2,,1,,1,,0,,2,,140,,0.143
P.K. Subban,MON,42,,11,,27,,38,,12,,57,,51,,49,,0,,0,,N/A,,7,,19,,0,,0,,0,,126,,0.087
Jiri Tlusty,NJD,48,,23,,15,,38,,15,,18,,53,,41,,3,,15,,0.167,,4,,4,,0,,0,,3,,117,,0.197
