"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"allenbr8020132014","Bryan.Allen","D","ANA",81,20132014,33,"3.500","3.500",1,10,11,0.04,0.41,0.45,-24,42.86,100.92,1.45,-11.03,17.96,2,-9.28,45.31,54.59,-54,261,315,10.76,12.99,23.75,-10.09,42.85,52.93,-185,554,739,22.84,30.47,53.31,27,-8.99,51.85,-391,1174,1565,48.41,64.53,112.94,52.98,56,149,172,-8.38,43.97,52.35,-245,894,1139,36.86,46.96,83.83,69.57,47,116,-10.13,43.96,54.09,-171,25.65,32.7,622,793,69,49.33,30.38,-11.9,58.23,2.6,3.01,63,73,-10,46.32,0.86,10.13,7.05,90.79,93.59,40,0,0,42.22,437,493,598,157,163,0,10,68,36,8,32,8,-0.99,1455.16,3469.3,29.55,16.12,17.16,49.43,50.36,53.89,55.14,54.61,53.84
"allenco9020132014","Conor.Allen","D","NYR",3,20132014,23,"0.925","0.925",0,0,0,0,0,0,2,47.27,95,0,-0.61,14.49,0,-7.42,35.71,43.14,-4,5,9,6.9,12.42,19.33,-13,34.62,47.62,-8,9,17,12.42,23.47,35.89,1,-3.5,50.78,-3,26,29,35.89,40.03,75.92,38.46,4,1,7,-8.54,41.46,50,-7,17,24,23.47,33.13,56.6,58.82,1,3,-21.51,33.33,54.84,-10,13.8,27.61,10,20,2,31.03,16.67,-46.67,46.67,0,1.38,0,1,-1,0,0,0,0,95,95.83,40,0,0,53.85,14,17,12,1,5,0,0,2,0,0,0,2,2.76,43.47,141.43,23.51,16.65,17.19,51.93,50.44,57.29,53.02,53.31,52.38
"almquad9120132014","Adam.Almquist","D","DET",2,20132014,22,"0.620","0.600",1,0,1,1.77,0,1.77,0,52.73,94.21,50,-2.25,16.96,1,16.67,50,33.33,0,6,6,10.61,10.61,21.22,17.54,56.25,38.71,4,18,14,31.83,24.76,56.6,3,12.98,39.74,3,29,26,51.29,45.98,97.27,68.97,1,0,3,14.01,54.35,40.34,4,25,21,44.22,37.14,81.36,80,0,2,11.5,51.28,39.78,1,35.37,33.6,20,19,2,26.92,9.52,2.5,37.5,3.54,5.31,2,3,-1,40,50,10,8,84.21,85.71,40,0,0,39.13,9,12,14,1,2,0,0,1,0,0,0,0,0,33.92,90.54,27.26,16.74,16.89,51.09,49.45,53.25,50.98,55.1,56.32
"alzneka8820132014","Karl.Alzner","D","WSH",82,20132014,24,"2.800","2.800",2,16,18,0.07,0.57,0.64,-2,38.79,99.33,2.11,-21.87,20.59,5,-14.44,36.7,51.15,-142,196,338,6.96,12.01,18.97,-13.58,38.74,52.32,-336,578,914,20.54,32.47,53.01,47,-13.36,52.15,-723,1251,1974,44.45,70.13,114.58,53,58,158,201,-12.32,39,51.32,-524,929,1453,33.01,51.62,84.63,71.37,48,143,-11.44,39.05,50.49,-372,23.56,36.77,663,1035,95,47.57,28.77,-17.82,54.86,1.78,3.02,50,85,-35,37.04,1.4,7.54,5.38,91.79,94.15,40,0,0,36.98,477,628,813,73,130,5,11,93,33,28,12,10,-0.07,1688.75,3341.43,33.57,17.19,17.82,48.97,50.34,54.56,56.85,55.04,54.29
"anderjo8920132014","Joakim.Andersson","C","DET",66,20132014,24,"0.700","0.733",8,9,17,0.52,0.59,1.11,1,40.94,95.8,10.26,-19.87,13.96,28,-14.16,37.74,51.91,-76,117,193,7.62,12.57,20.19,-11.45,40.7,52.15,-143,313,456,20.39,29.7,50.09,71,-12.13,53.07,-278,628,906,40.9,59.01,99.92,57.17,17,25,119,-11.39,41.92,53.31,-188,488,676,31.79,44.03,75.82,73.57,24,102,-10.54,42.43,52.98,-128,23.38,31.72,359,487,78,46.25,27.96,-23.58,54.74,1.56,3.45,24,53,-29,31.17,7.84,6.69,4.92,89.12,92.16,51.16,346,326,35.9,210,242,375,26,71,5,4,70,27,18,6,7,0.07,921.17,3109.46,22.85,17.17,16.96,51.38,49.58,52.21,49.41,53.62,54.53
"anisiar8820132014","Artem.Anisimov","C","CBJ",87,20132014,25,"2.750","3.283",22,19,41,0.93,0.8,1.74,7,50.21,98.88,12.5,-2.35,16.28,99,0.63,52.38,51.75,25,275,250,11.65,10.59,22.24,-0.2,50.77,50.97,19,628,609,26.6,25.8,52.4,192,0.32,49.9,11,1298,1287,54.99,54.52,109.51,53.78,81,57,338,-0.1,49.66,49.77,-13,958,971,40.58,41.13,81.72,72.86,81,257,-0.44,48.61,49.05,-40,29.57,31.26,698,738,176,42.66,24,-7.27,53.05,2.75,3.26,65,77,-12,45.77,8.56,9.31,6.78,89.57,92.07,49.28,503,514,46.64,465,413,532,40,117,11,8,154,18,54,10,17,0.3,1416.35,3828.29,27.01,17.88,17.5,49.49,50.28,51.92,52.99,54.62,54.01
"archida9020132014","Darren.Archibald","L","VAN",16,20132014,23,"0.660","0.660",1,2,3,0.46,0.92,1.38,4,46.4,102.5,9.09,-6.12,8.15,5,2.51,51.85,49.34,1,14,13,6.44,5.98,12.43,-6.41,42.7,49.11,-13,38,51,17.49,23.48,40.97,11,-4.56,50.96,-16,103,119,47.41,54.78,102.19,46.6,5,9,20,-2.12,49.67,51.79,-1,75,76,34.52,34.98,69.51,64,4,15,-3.3,48.98,52.28,-2,22.1,23.02,48,50,11,57.98,34.21,10.8,43.75,2.76,2.3,6,5,1,54.55,6.67,12.5,8,90,93.42,38.1,0,1,41.67,30,37,42,30,25,1,1,10,1,2,0,4,1.84,130.34,848.24,13.32,16.69,16.95,49.83,50.12,53.14,53.51,54.31,54.05
"arcobma8820132014","Mark.Arcobello","CR","EDM",41,20132014,25,"0.600","0.600",4,14,18,0.39,1.35,1.74,7,45.62,98.61,5.71,-4.18,15.13,22,-3.58,46.56,50.13,-17,115,132,11.12,12.77,23.89,-2.73,46.99,49.72,-37,289,326,27.96,31.54,59.49,76,-0.48,46.1,-102,531,633,51.37,61.23,112.6,51.04,28,23,127,-0.93,44.86,45.79,-89,388,477,37.53,46.14,83.68,69.85,29,99,-3.42,43.85,47.28,-76,26.22,33.57,271,347,70,45.18,27.25,0.31,39.69,2.13,3.19,22,33,-11,40,4.04,8.12,5.67,90.49,93.08,50.47,206,198,44.69,164,183,203,78,38,7,7,66,13,18,4,11,0.68,620.25,1860.83,25,17.95,17.22,46.47,49.95,50.14,57.75,54.19,54.3
"arnolbi9220132014","Bill.Arnold","C","CGY",1,20132014,21,"0.900","0.887",0,0,0,0,0,0,0,50,66.67,NA,-8.33,13.38,0,-41.67,0,41.67,-1,0,1,0,4.48,4.48,-21.34,25,46.34,-4,2,6,8.97,26.9,35.87,1,8.82,41.18,0,10,10,44.83,44.83,89.66,20,0,0,1,9.72,54.55,44.83,1,6,5,26.9,22.42,49.32,33.33,1,1,-10,40,50,-1,8.97,13.45,2,3,0,70,40,-20,20,0,4.48,0,1,-1,0,0,0,0,66.67,80,44.83,5,4,33.33,1,7,2,1,2,0,0,0,0,0,0,0,0,13.38,46.62,22.31,16.92,16.43,47.05,51.88,50.2,56.49,57.56,53.4
"ashamar7820132014","Arron.Asham","R","NYR",6,20132014,35,"1.000","1.000",0,0,0,0,0,0,-2,39.24,78.26,0,-32.77,7.53,0,-23.74,27.78,51.52,-8,5,13,6.64,17.25,23.89,-19.98,31.43,51.41,-13,11,24,14.6,31.85,46.45,1,-11.84,51.08,-17,31,48,41.14,63.71,104.85,38.71,1,1,2,-17.41,32.69,50.1,-18,17,35,22.56,46.45,69.01,70.59,0,1,-14.24,34.29,48.53,-11,15.93,30.53,12,23,1,52.08,34.29,-33.33,33.33,0,6.64,0,5,-5,0,0,0,0,78.26,85.71,40,0,0,24,6,11,19,8,2,0,0,1,2,0,2,0,-2.65,45.21,318.89,12.42,17.5,16.63,47.34,49.51,53.42,59.43,52.72,53.76
"ashtoca9120132014","Carter.Ashton","L","TOR",32,20132014,22,"0.810","0.840",0,3,3,0,0.88,0.88,2,43.59,103.13,0,8.19,6.37,10,-3.61,40.98,44.59,-11,25,36,7.36,10.6,17.97,-1.27,42.94,44.22,-23,70,93,20.62,27.4,48.02,21,-0.69,44.28,-45,153,198,45.07,58.33,103.4,49.02,8,7,38,-2.38,40.61,42.99,-49,106,155,31.22,45.66,76.88,70.75,7,30,-4.17,39.89,44.06,-38,22.09,33.29,75,113,23,42.93,27.1,4.98,50.57,1.47,1.18,5,4,1,55.56,0,6.67,4.72,96.46,97.42,46.51,12,11,50,80,71,80,46,55,2,1,23,5,3,2,4,0.59,203.68,1742.33,10.47,16.34,16.31,43.06,48.36,46.74,61.81,51.68,55.18
"atkinca8920132014","Cam.Atkinson","R","CBJ",84,20132014,24,"1.125","1.150",22,21,43,0.99,0.95,1.94,5,57.24,100.13,9.69,14.59,15.84,120,19.59,65.73,46.14,146,305,159,13.75,7.17,20.92,12.55,59.76,47.21,227,695,468,31.33,21.1,52.43,242,10.07,47.17,356,1408,1052,63.48,47.43,110.9,54.83,74,39,374,10.93,57.57,46.64,278,1057,779,47.65,35.12,82.77,73.04,73,300,11.24,56.89,45.65,187,34.8,26.37,772,585,227,44.39,24.9,8.99,48.28,3.02,2.25,67,50,17,57.26,7.33,8.68,6.34,91.45,93.58,40,0,0,59.16,494,458,341,65,69,14,7,205,22,30,6,11,0.23,1330.89,3778.78,26.05,18.02,17.51,49.65,50.1,52.18,52.91,54.52,54.3
"aucoike7820132014","Keith.Aucoin","C","STL",2,20132014,34,"0.625","0.625",0,0,0,0,0,0,0,44.44,75,0,9.7,12.05,0,-2.59,25,27.59,-6,3,9,7.47,22.41,29.88,-11.41,26.09,37.5,-11,6,17,14.94,42.32,57.26,1,4.07,40.37,-5,20,25,49.79,62.24,112.03,65,0,0,1,6.3,43.59,37.29,-5,17,22,42.32,54.77,97.1,76.47,0,1,12.49,52,39.51,1,32.37,29.88,13,12,1,52,45.45,0,0,0,7.47,0,3,-3,0,0,0,0,75,86.36,48.57,9,6,40,4,5,6,0,0,0,0,1,1,1,0,0,0,24.1,95.62,20.13,15.35,16.6,51.29,51.01,52.33,49.69,53.27,51.15
"aulieke8920132014","Keith.Aulie","D","T.B",16,20132014,24,"0.975","0.975",0,1,1,0,0.38,0.38,-1,39.36,99.22,0,-13.47,9.84,0,-18.72,37.1,55.82,-16,23,39,8.77,14.86,23.63,-16.16,38.36,54.51,-34,56,90,21.34,34.3,55.65,4,-10.91,50.27,-60,111,171,42.31,65.17,107.48,55.86,11,17,19,-10.82,40.78,51.6,-38,84,122,32.02,46.5,78.51,73.81,2,8,-9.4,42.76,52.16,-21,23.63,31.63,62,83,6,51.46,31.97,-10.67,50.67,1.52,2.29,4,6,-2,40,0,6.45,4.76,92.77,95.08,40,0,0,36.26,33,45,58,19,22,0,1,6,1,1,2,1,-0.38,157.43,817.37,16.15,16.67,17.1,50.08,49.24,53.78,53.61,53.79,55.44
"backeda8420132014","David.Backes","RC","STL",78,20132014,29,"4.750","4.500",27,31,58,1.04,1.2,2.24,-8,56.67,100.92,15.61,-6.64,19.88,88,4,56.21,52.22,63,285,222,11.03,8.59,19.62,3.67,55.02,51.34,132,724,592,28.02,22.91,50.93,179,4.95,51.73,373,1584,1211,61.3,46.86,108.16,50.57,47,61,290,4.83,57.01,52.18,285,1159,874,44.85,33.82,78.67,69.11,70,243,5.51,56.73,51.22,190,31,23.64,801,611,173,49.55,30.09,5,53.9,3.33,2.32,86,60,26,58.9,11.11,10.74,7.42,90.18,93.14,51.3,663,625,48.59,622,555,658,298,95,16,15,146,22,33,30,22,-0.31,1550.48,3248.48,32.31,18.92,18.13,52.94,50.2,55.55,49.37,54.83,54.39
"backlmi8920132014","Mikael.Backlund","C","CGY",76,20132014,24,"1.500","1.500",18,21,39,0.77,0.9,1.67,4,52.21,99.98,10.11,0.48,18.49,83,7.26,51.89,44.63,20,275,255,11.74,10.89,22.63,7.27,52,44.73,50,649,599,27.71,25.57,53.28,181,7.06,45.15,111,1311,1200,55.97,51.23,107.2,51.64,74,62,318,7.07,53.44,46.37,125,972,847,41.5,36.16,77.66,69.65,66,244,6.31,52.89,46.58,74,28.9,25.74,677,603,178,49.75,28.81,9.29,43.55,2.78,2.48,65,58,7,52.85,7.38,9.6,6.69,90.38,93.15,47.39,628,694,49.22,506,457,522,64,74,9,12,160,40,63,14,18,0.17,1405.39,3216.08,30.41,18.64,17.72,46.97,50.32,49.95,56.4,55.21,54.5
"backsni8720132014","Nicklas.Backstrom","C","WSH",82,20132014,25,"6.000","6.700",18,61,79,0.66,2.23,2.89,-5,55.88,100.73,9.18,19.45,19.99,80,7.52,51.89,44.36,21,289,268,10.58,9.81,20.39,12.24,55.94,43.7,188,885,697,32.39,25.51,57.9,205,12.63,43.25,386,1833,1447,67.09,52.96,120.05,54.28,66,54,336,12.51,55.36,42.85,266,1373,1107,50.25,40.52,90.77,72.47,74,270,12.27,54.67,42.4,170,36.42,30.2,995,825,196,42.99,25.47,11.68,44.78,3.84,2.96,105,81,24,56.45,6.67,10.55,7.65,90.18,92.68,50.31,714,701,62.88,781,470,461,89,116,24,37,178,24,54,27,22,-0.18,1639.25,3390.93,32.59,18.74,17.88,49.73,50.22,55.47,56.07,54.72,54.24
"baertsv9220132014","Sven.Baertschi","LR","CGY",26,20132014,20,"0.925","0.894",2,9,11,0.33,1.47,1.8,6,45.91,100.69,6.67,21.94,14.12,14,2.23,50.94,48.72,2,54,52,8.82,8.5,17.32,-2.1,43.55,45.65,-40,135,175,22.06,28.6,50.66,31,0.87,45.03,-54,303,357,49.51,58.34,107.85,50.83,16,19,56,0.57,48.02,47.45,-18,218,236,35.62,38.56,74.19,70.64,10,40,0.25,48.28,48.02,-11,25.16,26.96,154,165,30,53.78,30.08,5.65,44.35,2.61,2.61,16,16,0,50,5,10.39,7.34,90.3,93.22,40,0,0,65.09,138,120,74,22,30,4,5,28,13,9,2,8,0.98,367.18,1217.45,23.17,18.42,17.27,46.85,50.15,50.66,57.48,54.23,53.91
"bailejo8920132014","Josh.Bailey","RL","NYI",77,20132014,23,"2.200","3.300",8,30,38,0.4,1.51,1.91,0,55.76,97.92,8.16,-1.69,15.52,59,11.25,59.51,48.26,85,266,181,13.36,9.09,22.45,8.82,56.78,47.97,150,628,478,31.54,24,55.54,130,7.6,48.16,254,1230,976,61.77,49.01,110.78,51.54,63,29,197,6.99,55.2,48.2,168,892,724,44.8,36.36,81.15,71.08,36,134,5.84,55.27,49.43,121,31.84,25.76,634,513,98,47.44,29.14,6.46,43.54,2.81,2.81,56,56,0,50,5.97,8.83,6.28,89.08,92.27,48.79,113,115,49.66,369,386,374,44,68,21,9,90,39,39,8,8,0,1194.77,3511.59,25.39,17.52,17.73,50.22,50.14,54.96,54.47,54.58,54.27
"ballake8220132014","Keith.Ballard","D","MIN",48,20132014,30,"1.000","1.500",2,7,9,0.18,0.65,0.83,0,46.28,98.16,6.45,-7.18,13.52,6,3.93,54.87,50.94,19,107,88,9.9,8.14,18.03,-1.93,49.9,51.83,-1,259,260,23.95,24.04,48,31,-2.7,48.97,-79,491,570,45.41,52.71,98.12,54.79,37,39,84,-3.16,46.14,49.31,-61,365,426,33.76,39.4,73.15,73.7,16,47,-1.76,47.03,48.79,-34,24.88,28.02,269,303,31,46.84,28.87,-10.99,53.85,2.5,3.33,27,36,-9,42.86,4.26,10.04,7.4,88.12,91.55,40,0,0,42.63,136,159,183,62,51,4,3,29,19,7,10,10,0,648.79,2285.47,22.11,15.67,16.91,48.46,49.46,48.97,52.08,53.53,54.7
"barbema9020132014","Mark.Barberio","D","T.B",51,20132014,23,"0.605","0.605",5,5,10,0.41,0.41,0.83,-17,52.41,101.08,9.09,3.72,14.25,10,1.6,52.56,50.96,15,154,139,12.71,11.47,24.18,3.84,53.46,49.62,49,379,330,31.28,27.24,58.52,42,3.05,49.36,65,708,643,58.43,53.07,111.5,54.1,49,39,126,3.1,52.75,49.65,56,537,481,44.32,39.7,84.02,71.32,22,77,2.59,52.61,50.02,38,31.61,28.47,383,345,55,46.35,28.27,5.17,50.76,2.72,2.15,33,26,7,55.93,6.49,8.62,6.15,92.46,94.59,40,0,0,52.91,236,203,210,29,49,0,5,50,27,10,17,0,-1.4,726.97,2386.6,23.35,16.85,17.26,50.32,49.5,53.7,53.02,54.08,55.17
"barchkr8020132014","Krys.Barch","L","FLA",55,20132014,33,"0.750","0.750",0,4,4,0,0.72,0.72,-5,43.83,95.43,0,-4.17,6.07,3,-11.06,36.7,47.76,-29,40,69,7.19,12.4,19.6,-9.09,41.2,50.29,-44,103,147,18.52,26.43,44.94,14,-6.78,50.61,-67,238,305,42.79,54.83,97.62,48.74,6,6,31,-9.57,40.34,49.92,-79,165,244,29.66,43.86,73.53,70.3,6,25,-7.8,40.7,48.5,-53,20.85,30.38,116,169,19,44.59,30.74,-19.21,44.21,0.9,2.7,5,15,-10,25,0,4.31,3.03,91.12,93.85,42.86,1,0,45.03,77,95,94,64,29,2,2,19,2,4,6,1,-0.9,333.76,3006.85,9.99,16.59,16.33,49.59,49.16,51.93,52.79,52.98,54.79
"barkoal9520132014","Aleksander.Barkov","C","FLA",54,20132014,18,"0.925","0.925",8,16,24,0.53,1.06,1.6,1,56.99,99.29,9.2,15.68,16.72,35,10.89,56.7,45.81,43,182,139,12.1,9.24,21.34,9.85,57.16,47.31,116,463,347,30.77,23.06,53.84,83,8.63,48.36,233,950,717,63.15,47.66,110.8,53.47,31,27,134,8.6,56.34,47.74,162,720,558,47.86,37.09,84.95,70.56,16,103,9.16,55.89,46.73,107,33.77,26.65,508,401,87,44.07,28.14,14.74,39.11,2.79,2.39,42,36,6,53.85,7.77,8.27,5.83,91.02,93.55,48.63,400,419,61.11,363,304,231,16,71,12,4,79,17,30,5,6,0.07,902.68,2394.69,27.38,18.21,17.7,50.61,49.93,53.97,52.67,54.23,54.37
