"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"abbotsp8820132014","Spencer.Abbott","R","TOR",1,20132014,25,"0.650","0.650",0,0,0,0,0,0,0,29.41,77.78,0,-16.67,5.46,2,-8.18,60,68.18,1,3,2,32.98,21.98,54.96,-24.64,33.33,57.97,-3,3,6,32.98,65.95,98.93,2,-27.84,57.25,-7,5,12,54.96,131.91,186.87,60,0,0,2,-37.76,21.43,59.18,-8,3,11,32.98,120.92,153.89,100,0,2,-34.09,25,59.09,-6,32.98,98.93,3,9,2,25,18.18,-66.67,66.67,0,21.98,0,2,-2,0,0,0,0,77.78,81.82,40,0,0,33.33,1,2,2,1,2,0,0,2,0,0,0,0,0,5.46,59.48,8.41,18.02,16.28,46.52,53.38,54.24,62.35,62.1,54.22
"abdelju8720132014","Justin.Abdelkader","RL","DET",75,20132014,26,"1.550","1.800",10,20,30,0.52,1.05,1.57,6,52.04,100.65,6.49,3.91,15.3,84,3.87,52.34,48.47,17,190,173,9.94,9.05,18.98,4.23,53.36,49.13,61,484,423,25.31,22.12,47.43,150,1.72,50.32,80,1021,941,53.39,49.21,102.6,55.04,26,33,236,2.12,52.74,50.62,82,790,708,41.31,37.02,78.34,71.14,56,210,1.25,51.37,50.12,30,29.39,27.82,562,532,154,43.46,24.86,5.2,48.14,2.51,2.2,48,42,6,53.33,4.76,8.54,6.08,92.11,94.07,40.79,23,33,55.52,367,396,294,193,148,13,7,144,15,22,11,17,0.31,1147.38,3452.4,24.94,18.27,17.6,51.62,50.54,53.06,49.73,55.13,53.96
"actonwi8720132014","Will.Acton","C","EDM",30,20132014,26,"0.680","0.665",3,2,5,0.75,0.5,1.25,1,28.77,98.28,16.67,-21.59,8.01,12,-20.88,28.75,49.63,-34,23,57,5.74,14.23,19.98,-23.63,27.48,51.1,-100,61,161,15.23,40.2,55.43,22,-20.21,48.99,-180,122,302,30.46,75.41,105.88,48.36,11,14,37,-20.65,27.99,48.63,-129,82,211,20.48,52.69,73.16,71.95,8,26,-22.14,27.31,49.46,-98,14.73,39.2,59,157,18,48.01,25.59,-22.39,46.2,1.25,4,5,16,-11,23.81,11.54,8.47,6.1,89.81,92.42,49.3,98,97,27.88,46,83,119,37,23,1,1,15,4,15,2,3,0.25,240.28,1578.67,13.21,15.78,16.32,45.14,50.1,47.79,58.08,54.18,53.97
"adamscr7720132014","Craig.Adams","C","PIT",95,20132014,36,"0.550","0.700",6,7,13,0.31,0.36,0.67,-4,30.85,96.88,7.23,-34.06,12.32,28,-22.31,30.83,53.15,-138,111,249,5.69,12.77,18.46,-23.36,31.74,55.11,-314,273,587,14,30.1,44.11,75,-23.27,54.12,-730,588,1318,30.16,67.59,97.75,60.2,29,63,141,-22.01,32.33,54.34,-503,460,963,23.59,49.39,72.98,76.96,29,112,-21.69,33.71,55.41,-342,18.15,35.69,354,696,83,47.19,27.73,-34.43,59.72,1.13,3.33,22,65,-43,25.29,5.36,6.21,4.78,90.66,93.25,41.67,62,86,23.69,172,320,554,225,99,6,1,77,19,15,14,10,-0.21,1169.93,4613.12,20.23,16.74,16.93,47.67,49.77,49.58,54.44,53.68,54.17
"adamxlu9020132014","Luke.Adam","L","BUF",12,20132014,23,"0.735","0.735",1,0,1,0.39,0,0.39,1,51.98,102.51,6.25,12.92,12.85,11,0.05,45.1,45.05,-5,23,28,8.95,10.89,19.84,1.67,45.76,44.09,-10,54,64,21.01,24.9,45.91,20,7.33,44.65,10,131,121,50.97,47.08,98.05,41.98,12,1,35,3.96,48.55,44.6,-5,84,89,32.68,34.63,67.32,65.48,7,23,1.96,46.61,44.65,-8,21.4,24.51,55,63,16,47.93,29.21,29.64,27.5,1.56,1.17,4,3,1,57.14,4.35,7.27,4.76,95.24,96.63,39.13,10,16,58.06,54,51,39,16,12,0,0,15,0,1,2,3,0.39,154.2,574.25,21.17,17.32,17.08,46.26,50.26,48.58,56.44,55.18,54.6
"agostke9220132014","Kenny.Agostino","L","CGY",8,20132014,21,"0.900","0.845",1,1,2,0.68,0.68,1.36,1,44.12,96.92,8.33,12.05,11.03,9,7.04,47.5,40.46,-2,19,21,12.92,14.28,27.2,-4.06,41.57,45.63,-15,37,52,25.16,35.35,60.51,13,-1.08,45.19,-20,75,95,50.99,64.59,115.58,56,2,3,20,0.51,46.88,46.36,-8,60,68,40.79,46.23,87.03,70,6,18,0.48,45.16,44.68,-9,28.56,34.67,42,51,12,46.32,25,-27.64,60.98,1.36,2.72,2,4,-2,33.33,5.56,4.76,3.33,92.16,94.12,40,0,0,57.78,26,38,19,9,7,1,0,11,3,3,0,1,0.68,88.25,401.07,18.04,17.13,17.02,46.46,51.05,49.19,56.69,54.25,52.02
"akesoja9020132014","Jason.Akeson","R","PHI",8,20132014,23,"0.740","0.715",2,2,4,1.2,1.2,2.39,-1,56.48,102.96,15.38,-1.84,12.54,8,3.11,51.16,48.05,1,22,21,13.15,12.56,25.71,8.1,56.67,48.56,12,51,39,30.49,23.32,53.81,17,10.42,46.06,28,122,94,72.94,56.2,129.14,44.26,9,1,29,9.2,54.36,45.17,13,81,68,48.43,40.65,89.08,66.67,7,20,7.21,51.92,44.71,4,32.28,29.89,54,50,13,46.81,26.47,15.91,42.42,4.19,2.99,7,5,2,58.33,10,12.96,8.64,90,92.65,40,0,0,40,20,41,30,8,18,2,0,11,2,1,1,0,-0.6,100.36,383.79,20.73,18.45,17.45,49.7,52.44,56.29,56.98,59.26,53.74
"alberan8120132014","Andrew.Alberts","D","VAN",10,20132014,32,"0.600","0.600",0,0,0,0,0,0,1,47.24,107.12,0,-9.05,7.37,1,-14.43,36.36,50.79,-6,8,14,6.51,11.4,17.91,-2.32,47.46,49.77,-3,28,31,22.8,25.24,48.04,4,-2.22,49.46,-7,60,67,48.85,54.55,103.4,41.67,6,7,13,-9.74,41.86,51.6,-14,36,50,29.31,40.71,70.02,69.44,2,7,-13.36,37.88,51.23,-16,20.36,33.38,25,41,5,38.81,18,-1.11,61.11,2.44,1.63,3,2,1,60,0,12,8.33,95.12,96,40,0,0,36.54,19,22,33,6,9,0,0,5,4,0,0,1,0.81,73.69,541.58,11.98,16.47,16.6,50.47,50,54.42,53.41,53.73,53.73
"alberjo8920132014","John.Albert","C","WPG",9,20132014,24,"0.585","0.585",1,0,1,1.26,0,1.26,0,45.12,89.62,20,5.46,5.28,1,-8.96,42.11,51.06,-3,8,11,10.1,13.89,23.99,-4.65,47.37,52.02,-2,18,20,22.72,25.25,47.97,3,-5.9,51.02,-8,37,45,46.71,56.81,103.52,54.05,1,3,6,-6.6,47.54,54.14,-3,29,32,36.61,40.4,77.01,68.97,0,5,-10.01,43.48,53.49,-6,25.25,32.82,20,26,5,42.22,18.75,-28.94,48.94,1.26,5.05,1,4,-3,20,20,5,3.45,84.62,87.5,41.46,9,12,55,11,6,9,8,4,0,0,4,0,1,0,0,0,47.52,500.21,8.68,14.87,16.37,48.77,49.28,51.45,54.04,52.03,53.55
"alfreda7220132014","Daniel.Alfredsson","R","DET",71,20132014,40,"3.500","3.500",18,31,49,0.91,1.56,2.47,7,60.24,102.53,11.76,17.92,16.75,49,15.25,60.15,44.89,83,246,163,12.41,8.22,20.63,13.04,60.76,47.72,203,573,370,28.91,18.67,47.57,133,12.26,47.98,414,1218,804,61.44,40.56,102,55.42,73,25,277,10.75,59.65,48.91,299,924,625,46.61,31.53,78.14,73.05,51,204,11.24,59.52,48.28,216,34.05,23.16,675,459,153,42.91,26.56,22.97,43.07,3.53,1.82,70,36,34,66.04,8.82,10.37,7.58,92.16,94.24,38.24,5,9,66.46,529,380,267,60,69,16,15,135,37,27,6,13,0.35,1189.36,3150.2,27.41,18.09,17.63,51.58,49.44,52.85,49.61,54.03,55.25
