Name,Team,GP,,GS,,MIN,,W,,L,,OTL,,EGA,,GA,,GAA,,SA,,SV,,SV%,,SO
Viktor Fasth,EDM,12,,12,,701,,5,,5,,2,,0,,33,,2.83,,340,,307,,0.903,,0
Joey MacDonald,MON,11,,9,,599,,5,,4,,1,,1,,29,,2.91,,264,,235,,0.89,,0
Niklas Backstrom,MIN,21,,19,,1094,,5,,11,,2,,5,,55,,3.02,,546,,491,,0.899,,0
Jhonas Enroth,LOS,28,,26,,1574,,4,,17,,5,,6,,74,,2.82,,834,,760,,0.911,,0
Joni Ortio,CGY,9,,9,,501,,4,,4,,0,,0,,21,,2.52,,193,,172,,0.891,,0
Michal Neuvirth,PHI,15,,13,,884,,4,,8,,2,,1,,41,,2.78,,517,,476,,0.921,,0
John Gibson,ANA,3,,3,,181,,3,,0,,0,,0,,4,,1.33,,87,,83,,0.954,,1
Petr Mrazek,DET,9,,6,,449,,2,,4,,0,,1,,13,,1.74,,178,,165,,0.927,,2
Michael Hutchinson,WPG,3,,3,,183,,2,,1,,0,,0,,5,,1.64,,88,,83,,0.943,,0
Dustin Tokarski,MON,3,,2,,163,,2,,0,,0,,0,,5,,1.84,,93,,88,,0.946,,1
Jacob Markstrom,VAN,16,,12,,813,,2,,8,,3,,2,,46,,3.39,,361,,315,,0.873,,0
Kristers Gudlevskis,TAM,1,,1,,60,,1,,0,,0,,0,,2,,2.01,,38,,36,,0.947,,0
Nikolai Khabibulin,CHI,4,,4,,168,,1,,0,,1,,0,,14,,5.01,,74,,60,,0.811,,0
Niklas Svedberg,BOS,1,,1,,61,,1,,0,,0,,0,,2,,1.97,,35,,33,,0.943,,0
Nathan Lieuwen,BUF,7,,5,,363,,1,,4,,0,,0,,18,,2.97,,191,,173,,0.906,,0
Jason LaBarbera,PHI,7,,4,,348,,1,,3,,0,,2,,19,,3.27,,146,,127,,0.87,,0
Matt Hackett,ANA,8,,8,,426,,1,,6,,1,,1,,22,,3.1,,239,,217,,0.908,,0
Mike McKenna,FLA,4,,3,,219,,1,,1,,1,,0,,11,,3.01,,114,,103,,0.904,,0
John Curry,MIN,2,,1,,80,,1,,0,,0,,0,,4,,3.01,,57,,53,,0.93,,0
Cristopher Nilstorp,DAL,1,,0,,39,,0,,0,,0,,0,,3,,4.56,,17,,14,,0.824,,0
Nathan Lawson,OTT,1,,0,,12,,0,,0,,0,,0,,2,,10.11,,10,,8,,0.8,,0
Drew MacIntyre,CAR,2,,1,,95,,0,,1,,0,,0,,4,,2.54,,51,,47,,0.922,,0
Andrew Hammond,OTT,1,,0,,35,,0,,0,,0,,0,,0,,0,,11,,11,,1,,0
Cedrick Desjardins,NYR,1,,0,,18,,0,,1,,0,,1,,2,,6.65,,13,,11,,0.846,,0
Joacim Eriksson,VAN,1,,0,,36,,0,,0,,0,,0,,6,,9.99,,31,,25,,0.806,,0
Connor Knapp,PHI,2,,1,,77,,0,,0,,1,,0,,4,,3.14,,32,,28,,0.875,,0
Mark Visentin,CHI,1,,1,,59,,0,,1,,0,,0,,3,,3.06,,32,,29,,0.906,,0
Martin Biron,NYR,2,,1,,71,,0,,1,,0,,0,,9,,7.65,,38,,29,,0.763,,0
Kent Simpson,CGY,1,,0,,20,,0,,0,,0,,0,,2,,6,,7,,5,,0.714,,0
Magnus Hellberg,NYR,1,,0,,12,,0,,0,,0,,0,,1,,4.92,,4,,3,,0.75,,0
Jack Campbell,DAL,1,,1,,60,,0,,1,,0,,0,,6,,6,,47,,41,,0.872,,0
Cal Heeter,TOR,1,,1,,64,,0,,0,,1,,0,,5,,4.69,,38,,33,,0.868,,0
Richard Bachman,VAN,3,,3,,139,,0,,2,,1,,0,,7,,3.03,,83,,76,,0.916,,0
Sami Aittokallio,COL,1,,1,,40,,0,,1,,0,,0,,3,,4.5,,18,,15,,0.833,,0
