Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Sidney Crosby,PIT,80,,36,,68,,104,,18,,46,,47,,28,,991,,896,,0.525,,11,,27,,0,,0,,5,,259,,0.139
Ryan Getzlaf,ANA,77,,31,,56,,87,,28,,31,,110,,87,,692,,719,,0.49,,5,,18,,0,,0,,7,,204,,0.152
Claude Giroux,PHI,82,,28,,58,,86,,7,,46,,90,,46,,931,,829,,0.529,,7,,30,,0,,0,,7,,223,,0.126
Tyler Seguin,DAL,80,,37,,47,,84,,16,,18,,48,,24,,281,,396,,0.415,,11,,14,,0,,0,,8,,294,,0.126
Corey Perry,ANA,81,,43,,39,,82,,32,,65,,81,,28,,9,,16,,0.36,,8,,10,,0,,0,,9,,280,,0.154
Phil Kessel,PIT,82,,37,,43,,80,,-5,,27,,25,,30,,2,,12,,0.143,,8,,12,,0,,0,,6,,305,,0.121
Taylor Hall,EDM,75,,27,,53,,80,,-15,,44,,54,,41,,37,,44,,0.457,,7,,10,,0,,1,,1,,250,,0.108
Alex Ovechkin,WAS,78,,51,,28,,79,,-35,,48,,204,,22,,2,,1,,0.667,,24,,15,,0,,1,,10,,386,,0.132
Jamie Benn,DAL,81,,34,,45,,79,,21,,64,,118,,60,,411,,367,,0.528,,5,,14,,1,,2,,3,,279,,0.122
Joe Pavelski,SAN,82,,41,,38,,79,,23,,32,,47,,68,,675,,531,,0.56,,16,,15,,1,,1,,3,,225,,0.182
Nicklas Backstrom,WAS,82,,18,,61,,79,,-20,,54,,89,,54,,714,,701,,0.505,,6,,38,,1,,0,,1,,196,,0.092
Patrick Sharp,DAL,82,,34,,44,,78,,13,,40,,55,,27,,83,,69,,0.546,,10,,15,,0,,0,,3,,313,,0.109
Joe Thornton,SAN,82,,11,,65,,76,,20,,32,,54,,34,,617,,482,,0.561,,2,,17,,0,,1,,3,,122,,0.09
Erik Karlsson,OTT,82,,20,,54,,74,,-15,,36,,122,,101,,0,,0,,N/A,,5,,26,,0,,0,,1,,257,,0.078
Evgeni Malkin,PIT,60,,23,,49,,72,,10,,62,,27,,18,,303,,318,,0.488,,7,,23,,0,,0,,3,,191,,0.12
Patrick Marleau,SAN,82,,33,,37,,70,,0,,18,,85,,29,,163,,145,,0.529,,11,,12,,2,,0,,4,,285,,0.116
Anze Kopitar,LOS,82,,29,,41,,70,,34,,24,,90,,44,,773,,678,,0.533,,10,,13,,0,,0,,9,,200,,0.145
Matt Duchene,COL,71,,23,,47,,70,,8,,19,,53,,44,,532,,526,,0.503,,5,,12,,0,,0,,6,,217,,0.106
Patrick Kane,CHI,69,,29,,40,,69,,7,,22,,16,,15,,4,,4,,0.5,,10,,15,,0,,0,,6,,227,,0.128
David Krejci,BOS,80,,19,,50,,69,,39,,28,,75,,56,,618,,590,,0.512,,3,,16,,0,,0,,6,,169,,0.112
Blake Wheeler,WPG,82,,28,,41,,69,,4,,63,,150,,68,,15,,25,,0.375,,8,,11,,0,,0,,4,,225,,0.124
Kyle Okposo,NYI,71,,27,,42,,69,,-9,,51,,43,,35,,97,,107,,0.475,,5,,10,,0,,0,,4,,195,,0.138
Martin St. Louis,NYR,81,,30,,39,,69,,13,,10,,24,,38,,68,,99,,0.407,,9,,12,,1,,1,,5,,204,,0.147
Jonathan Toews,CHI,76,,28,,40,,68,,26,,34,,29,,20,,884,,660,,0.573,,5,,10,,3,,2,,5,,193,,0.145
Thomas Vanek,MIN,78,,27,,41,,68,,7,,46,,30,,17,,20,,26,,0.435,,8,,10,,0,,0,,4,,248,,0.109
Chris Kunitz,PIT,78,,35,,33,,68,,25,,66,,157,,25,,3,,1,,0.75,,13,,9,,0,,0,,8,,218,,0.161
Jaromir Jagr,FLA,82,,24,,43,,67,,16,,46,,4,,9,,0,,2,,0,,5,,12,,0,,0,,6,,231,,0.104
