"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"soderca8520122013","Carl.Soderberg","C","BOS",8,20122013,26,"1.025","1.008",0,2,2,0,1.08,1.08,-2,55,93.93,0,11.34,13.92,1,-5.35,48.39,53.74,-1,15,16,8.08,8.62,16.71,6.65,58.89,52.24,16,53,37,28.56,19.94,48.5,6,0.35,54.65,18,99,81,53.35,43.65,97,54.55,3,4,15,2.22,55.47,53.26,15,76,61,40.96,32.87,73.83,71.05,3,12,3.3,55.67,52.37,11,29.1,23.17,54,43,9,46.91,29.51,-7.33,44.83,1.62,2.69,3,5,-2,37.5,0,5.56,3.95,88.37,91.8,46.51,12,11,58.73,37,32,26,9,13,0,2,9,4,3,3,1,-1.08,111.34,371.59,23.06,17.53,16.99,52.58,50,57.8,52.13,53.5,53.52
"sourash7620122013","Sheldon.Souray","D","ANA",50,20122013,36,"4.000","3.667",7,11,18,0.4,0.63,1.03,-18,47.45,102.36,7.53,-5.41,20.88,1,-4.61,46.39,51.01,-30,193,223,11.09,12.81,23.9,-1.01,48.79,49.8,-23,463,486,26.61,27.93,54.53,28,-0.15,47.61,-100,931,1031,53.5,59.24,112.74,54.14,65,65,191,0.12,48.24,48.11,-51,697,748,40.05,42.98,83.03,72.31,33,126,0.19,50.05,49.86,1,28.96,28.9,504,503,93,51.21,32.75,5.97,49.69,3.39,2.7,59,47,12,55.66,5.56,11.71,8.46,90.66,93.72,42.86,1,0,44.99,350,333,428,35,23,2,9,86,33,10,20,2,-1.03,1044.16,2026.97,34,17.09,17.61,48.98,50.93,52.32,54.5,54.22,52.24
"spalini8820122013","Nick.Spaling","LC","NSH",47,20122013,23,"1.100","1.050",9,4,13,0.73,0.32,1.05,-1,37.22,97.27,15.79,-10.18,15.81,34,-13.95,39.47,53.43,-48,90,138,7.27,11.15,18.42,-16.05,35.82,51.86,-156,197,353,15.91,28.51,44.42,58,-12.56,49.78,-303,441,744,35.62,60.09,95.71,52.15,24,21,105,-13.43,37.19,50.62,-219,318,537,25.68,43.37,69.06,72.33,24,81,-13.49,37.77,51.26,-149,18.58,30.61,230,379,57,49.06,29.42,-16.72,47.75,1.45,3.23,18,40,-22,31.03,11.11,7.83,5.66,89.45,92.55,46.02,223,259,38.03,208,234,339,38,39,3,1,48,7,22,9,8,-0.08,742.85,2120.73,25.94,16.83,17.08,46.45,50.31,46.68,53.81,53.11,52.47
"spezzja8320122013","Jason.Spezza","C","OTT",8,20122013,29,"8.000","7.000",2,4,6,0.78,1.57,2.35,0,59.24,102.69,11.11,21.81,19.13,4,-3.18,53.12,56.3,4,34,30,13.33,11.76,25.09,3.63,55.71,52.08,16,78,62,30.58,24.31,54.89,10,8.74,50.5,58,186,128,72.93,50.19,123.11,47.31,8,2,34,7.46,57.08,49.62,33,133,100,52.15,39.21,91.35,66.17,8,26,3.16,53.66,50.5,12,34.5,29.8,88,76,18,40.62,24,17.92,45.71,2.74,1.57,7,4,3,63.64,7.69,7.95,5.26,94.74,96,53.69,101,82,64.06,82,65,46,2,4,3,1,16,4,6,1,1,0,153.03,359.24,29.87,18.87,17.86,52.36,49.3,59.34,54,53.98,55.52
"spoonry9220122013","Ryan.Spooner","CL","BOS",4,20122013,20,"0.740","0.760",0,0,0,0,0,0,0,55.88,100,0,9.96,9.4,0,-17.75,40,57.75,-2,4,6,6.38,9.57,15.95,-3.76,52.38,56.14,1,11,10,17.55,15.95,33.5,2,-0.13,56.01,8,38,30,60.62,47.86,108.49,52.63,3,2,8,1.28,58.54,57.26,7,24,17,38.29,27.12,65.41,83.33,1,5,7.14,62.5,55.36,8,31.91,19.14,20,12,4,60,29.41,NA,46.67,0,0,0,0,0,NA,0,0,0,100,100,43.18,11,13,60.71,17,11,11,1,2,0,0,4,1,0,0,0,0,37.61,202.18,15.68,17.41,17.83,52.51,49.65,57.38,51.9,55.71,56.49
"spurgja8920122013","Jared.Spurgeon","D","MIN",44,20122013,22,"0.535","0.527",5,10,15,0.32,0.63,0.95,6,54.55,98.51,6.67,8.9,21.5,14,13.27,64.85,51.58,109,238,129,15.09,8.18,23.27,6.16,57.78,51.63,132,490,358,31.07,22.7,53.77,50,5.99,48.55,150,900,750,57.07,47.56,104.63,56.89,52,69,155,7,55.47,48.48,135,684,549,43.37,34.81,78.19,74.85,28,103,7.1,56.14,49.04,112,32.47,25.36,512,400,75,46.67,27.14,6.38,45.52,2.6,2.41,41,38,3,51.9,4.85,8.01,5.99,90.5,93.08,40,0,0,56.24,356,293,277,46,65,6,4,70,17,13,3,9,0.38,946.22,1730.44,35.35,16.89,17.35,48.51,50.61,49.72,52.77,53.88,52.59
"staaler8420122013","Eric.Staal","CL","CAR",48,20122013,27,"8.500","8.250",18,35,53,1.08,2.09,3.17,-7,55.01,101.32,11.92,17.04,20.9,86,5.62,51.61,45.99,15,240,225,14.35,13.46,27.81,5.9,53.88,47.98,84,583,499,34.86,29.84,64.71,169,5.88,49.13,213,1169,956,69.91,57.17,127.08,51.33,65,24,269,6.13,54.19,48.06,133,860,727,51.43,43.48,94.91,69.77,53,204,5.53,53.48,47.95,78,35.88,31.22,600,522,151,45.4,28.2,21.27,35.19,4.19,3.23,70,54,16,56.45,8.82,11.67,8.14,89.66,92.57,51.74,527,487,62.94,501,363,295,35,59,23,12,133,24,48,22,15,-0.42,1003.3,1890.12,34.68,18.74,17.97,50.71,49.88,59.55,57.88,54.26,54.51
"staalja9020122013","Jared.Staal","R","CAR",2,20122013,22,"0.575","0.567",0,0,0,0,0,0,0,65.91,75,0,-29.9,13.85,4,37.5,66.67,29.17,3,6,3,13,6.5,19.49,35.61,75,39.39,8,12,4,25.99,8.66,34.66,4,23.72,42.19,14,29,15,62.82,32.49,95.31,44.83,4,1,7,28.47,66.67,38.19,10,20,10,43.32,21.66,64.98,65,0,3,25.01,61.9,36.89,5,28.16,17.33,13,8,3,46.67,20,-37.5,37.5,0,4.33,0,2,-2,0,0,0,0,75,80,40,0,0,18.75,3,8,13,12,3,0,0,3,0,2,1,1,0,27.7,95.2,22.54,18.15,17.88,52.16,49.77,62.55,57.37,54.85,55.36
"staaljo8820122013","Jordan.Staal","C","CAR",48,20122013,24,"4.500","4.000",10,21,31,0.62,1.3,1.92,-4,52.26,95.74,8.77,-11.78,20.21,61,3.11,50.11,47,1,222,221,13.73,13.67,27.41,3.29,52.34,49.04,47,526,479,32.54,29.63,62.17,131,1.48,50.78,89,1029,940,63.66,58.15,121.81,53.64,33,20,188,1.64,51.37,49.74,41,767,726,47.45,44.91,92.36,71.97,41,155,2.07,51.3,49.23,28,34.15,32.42,552,524,114,44.26,27.82,-5.48,46.55,2.85,4.08,46,66,-20,41.07,6.45,8.33,6,87.4,90.91,49.89,458,456,44.91,322,272,395,105,69,14,7,104,20,31,15,11,-0.25,969.89,1923.53,33.52,17.99,17.81,50.99,49.85,59.34,57.03,54.12,54.45
"staalma8720122013","Marc.Staal","D","NYR",22,20122013,25,"3.775","3.975",2,9,11,0.23,1.03,1.26,-5,47.29,101.9,10,-4.9,23.82,4,-2.22,50.96,53.18,4,106,102,12.14,11.68,23.82,-2.53,50.67,53.2,6,226,220,25.88,25.19,51.07,16,-5.95,53.24,-52,454,506,51.98,57.94,109.92,53.08,32,36,73,-7,47.25,54.26,-38,327,365,37.44,41.79,79.23,73.7,21,41,-7.1,46.89,53.99,-32,27.59,31.26,241,273,20,46.05,25.21,1.4,50.77,2.75,2.52,24,22,2,52.17,4.88,9.96,7.34,91.94,93.97,40,0,0,49.86,173,179,174,47,29,4,5,18,12,4,6,1,-0.57,524.02,813.72,39.17,17.7,17.57,49.34,50.09,53.05,54.46,54.06,53.85
