"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"abdelju8720122013","Justin.Abdelkader","RL","DET",60,20122013,25,"1.400","1.800",12,4,16,0.79,0.26,1.06,6,56.96,99.46,9.3,-3.09,15.14,82,8.25,58.6,50.35,54,184,130,12.16,8.59,20.74,7.01,57.24,50.23,107,423,316,27.95,20.88,48.82,121,5.64,51.32,219,896,677,59.2,44.73,103.92,50.78,26,22,196,6.07,57.11,51.03,165,663,498,43.8,32.9,76.7,68.63,41,170,5.74,55.35,49.61,88,30.06,24.25,455,367,129,45.79,26.31,2.59,50.85,2.05,1.78,31,27,4,53.45,7.06,6.81,4.68,92.64,94.58,50.68,67,61,51.35,285,285,270,181,99,3,1,117,11,12,15,21,0.4,908.17,2740.29,24.89,18.39,17.82,54.21,50.78,55.95,47.27,53.91,52.25
"adamscr7720122013","Craig.Adams","C","PIT",63,20122013,35,"0.625","0.675",3,7,10,0.25,0.58,0.83,5,32.73,97.96,5.08,-25.48,11.43,21,-22.85,30.49,53.34,-87,68,155,5.67,12.92,18.58,-25.11,30.4,55.51,-205,159,364,13.25,30.33,43.58,48,-20.04,52.77,-402,381,783,31.75,65.25,96.99,58.79,16,48,94,-17.21,36.08,53.3,-236,306,542,25.5,45.16,70.66,73.2,19,78,-16.49,36.72,53.21,-162,18.67,32.16,224,386,59,50.7,28.78,-30.37,60.8,1.17,2.67,14,32,-18,30.43,3.85,6.25,4.58,91.71,94.1,46.88,67,73,28.54,127,197,318,135,63,4,3,56,8,14,8,13,0.42,720.04,3149.52,18.61,16.59,16.76,48.61,50.19,51.94,54.92,54.57,54.16
"adamxlu9020122013","Luke.Adam","L","BUF",4,20122013,22,"0.787","0.738",1,0,1,1.49,0,1.49,-1,35.71,111.81,50,-7.34,10.07,1,7.26,46.15,38.89,-1,6,7,8.94,10.43,19.37,-3.41,37.5,40.91,-8,12,20,17.88,29.8,47.68,3,-8.29,44,-20,25,45,37.25,67.05,104.3,52,2,2,5,-8.44,34.69,43.14,-15,17,32,25.33,47.68,73.01,76.47,1,3,-12.46,31.71,44.16,-15,19.37,41.72,13,28,2,37.78,12.5,16.67,50,2.98,1.49,2,1,1,66.67,33.33,15.38,11.76,96.43,96.88,42.86,1,0,35.71,5,12,9,3,2,0,0,1,0,0,1,0,-1.49,40.27,204.47,16.45,17.29,16.8,46.93,51.08,49.29,55.73,53.67,51.4
"akesoja9020122013","Jason.Akeson","R","PHI",1,20122013,22,"0.715","0.715",1,0,1,4.77,0,4.77,0,48.15,125,50,15.79,12.57,1,15.56,60,44.44,1,3,2,14.32,9.55,23.87,16.64,53.85,37.21,1,7,6,33.42,28.65,62.07,2,14.08,34.07,-1,13,14,62.07,66.84,128.91,61.54,1,0,3,3.23,40.91,37.68,-4,9,13,42.97,62.07,105.04,88.89,0,2,8.11,42.11,34,-3,38.2,52.52,8,11,2,21.43,15.38,100,0,9.55,0,2,0,2,100,50,25,22.22,100,100,40,0,0,50,3,6,3,0,1,0,0,1,0,2,0,0,0,12.57,47.32,20.99,18.11,18.84,49.13,54.65,54.44,56.37,63.49,52.68
"alberan8120122013","Andrew.Alberts","D","VAN",28,20122013,31,"1.225","1.225",0,1,1,0,0.15,0.15,-2,44.95,95.44,0,-10.5,14.64,1,-11.66,38.24,49.89,-32,52,84,7.61,12.29,19.9,-7.5,41.23,48.73,-63,148,211,21.66,30.88,52.54,15,-8.55,53.5,-69,307,376,44.93,55.03,99.96,51.79,20,33,47,-8.49,43.4,51.89,-66,217,283,31.76,41.42,73.17,73.27,11,27,-8.44,42.4,50.84,-57,23.27,31.61,159,216,16,42.55,23.67,-22.93,47.93,0.88,2.63,6,18,-12,25,0,3.77,2.76,91.67,93.64,40,0,0,39.39,78,108,120,49,49,1,0,16,8,5,5,3,-0.29,409.98,1310.11,23.83,16.11,16.88,51.12,49.67,53.41,51.07,52.5,53.19
"alfreda7220122013","Daniel.Alfredsson","R","OTT",57,20122013,39,"1.000","4.875",14,22,36,0.77,1.2,1.97,-1,58.26,101.47,10.94,12.76,19.23,49,6,54.43,48.43,34,209,175,11.44,9.58,21.02,7.46,56.14,48.68,122,558,436,30.55,23.87,54.42,120,8.21,50.05,362,1276,914,69.86,50.04,119.89,51.65,70,35,247,8,56.54,48.54,211,912,701,49.93,38.38,88.3,72.26,49,177,7.28,55.47,48.19,130,36.08,28.96,659,529,128,42.12,24.54,11.98,48.02,3.12,2.08,57,38,19,60,7.91,8.65,6.25,92.82,94.58,38.57,19,31,60.21,469,365,310,45,58,14,8,114,41,41,10,9,-0.05,1095.98,2394.04,31.4,18.69,17.93,52.04,49.85,60.04,55.32,54.73,55.07
"aliuxak8920122013","Akim.Aliu","R","CGY",5,20122013,23,"0.695","0.695",0,0,0,0,0,0,0,38.95,93.75,0,-3.33,10.51,3,-7.76,38.46,46.23,-6,10,16,11.42,18.27,29.68,-3.63,40.68,44.31,-11,24,35,27.4,39.96,67.35,5,-6.94,45.89,-21,37,58,42.24,66.21,108.45,37.84,2,2,5,-6.14,39.39,45.53,-14,26,40,29.68,45.66,75.34,53.85,1,3,-16.39,30.43,46.83,-18,15.98,36.53,14,32,2,44.83,20,-55.56,55.56,0,2.28,0,2,-2,0,0,0,0,93.75,95,40,0,0,36.67,11,21,19,5,9,0,0,2,2,1,1,1,0,52.56,247.32,17.53,16.99,16.69,47.96,48.65,50.57,54.87,50.16,52.94
"allenbr8020122013","Bryan.Allen","D","ANA",48,20122013,32,"3.500","3.500",0,7,7,0,0.47,0.47,-4,42.21,101.27,0,-7.26,18.64,4,-5.77,46.25,52.02,-24,148,172,9.93,11.54,21.46,-7.19,44.65,51.84,-80,334,414,22.4,27.77,50.17,18,-8.46,50.67,-246,666,912,44.67,61.17,105.85,49.7,38,80,100,-9.71,42.03,51.73,-181,477,658,32,44.14,76.13,69.39,32,62,-10.76,42.65,53.41,-114,22.2,29.85,331,445,30,51.21,32.37,-7.74,54.4,1.88,2.15,28,32,-4,46.67,0,8.46,5.87,92.81,95.14,40,0,0,43.81,237,317,304,77,91,1,6,30,25,5,12,8,-0.27,894.5,2047.23,30.41,16.31,17.21,48.55,50.62,51.4,54.48,53.55,52.23
"alzneka8820122013","Karl.Alzner","D","WSH",55,20122013,23,"1.270","1.285",2,5,7,0.1,0.26,0.37,-3,44.81,98.42,3.45,-10.95,20.91,7,-1.92,46.86,48.78,-24,179,203,9.34,10.59,19.92,-6.81,44.96,51.77,-99,442,541,23.05,28.22,51.27,30,-5.99,50.8,-225,971,1196,50.65,62.38,113.03,51.18,38,100,128,-5.79,44.75,50.54,-164,699,863,36.46,45.01,81.47,71.1,32,90,-5.81,43.48,49.29,-149,25.92,33.69,497,646,58,45.99,25.14,-19.11,57.82,1.88,2.97,36,57,-21,38.71,2.22,7.24,5.15,91.18,93.4,40,0,0,41.2,344,396,491,53,118,1,4,56,29,14,8,5,-0.16,1150.33,2191.11,34.43,17.32,17.84,48.31,50.39,52.52,56.18,55.26,54.4
"anderjo8920122013","Joakim.Andersson","C","DET",52,20122013,23,"0.637","0.613",4,9,13,0.38,0.85,1.22,-5,51.17,98.44,6.45,-9.18,12.28,38,-3.36,50.22,53.59,1,112,111,10.52,10.43,20.95,-2.48,50.28,52.76,3,268,265,25.18,24.9,50.07,57,-2.35,53.52,26,569,543,53.45,51.01,104.47,54.13,16,17,99,-3.43,49.94,53.37,-1,424,425,39.83,39.93,79.76,72.64,21,83,-1.51,49.84,51.35,-2,28.93,29.12,308,310,62,42.91,27.06,-8.75,53.85,2.16,2.63,23,28,-5,45.1,4.82,7.47,5.42,90.97,93.41,49.51,243,244,45.64,183,176,218,25,52,4,5,58,20,9,9,4,-0.47,638.67,2540.17,20.09,16.63,16.8,53.48,50.1,55.77,48.52,52.55,52.33
"anderma8220122013","Matt.Anderson","R","N.J",2,20122013,29,"0.525","0.525",0,1,1,0,4.89,4.89,0,52.17,112.5,NA,51.32,6.14,1,19.61,66.67,47.06,3,6,3,29.33,14.66,43.99,13.81,64.29,50.48,4,9,5,43.99,24.44,68.43,1,2.17,50,1,12,11,58.66,53.77,112.42,66.67,1,1,2,9.55,58.82,49.28,3,10,7,48.88,34.22,83.1,80,1,1,6.16,53.33,47.17,1,39.1,34.22,8,7,0,36.36,0,60,40,4.89,0,1,0,1,100,0,12.5,10,100,100,40,0,0,100,2,3,0,0,3,1,0,0,0,0,0,0,0,12.28,114.31,9.7,16.68,16.26,49.75,51.65,46.36,46.82,55.94,52.37
"angelmi8520122013","Mike.Angelidis","L","T.B",1,20122013,27,"0.525","0.525",0,0,0,0,0,0,0,23.08,66.67,NA,-30.4,7.21,1,-31.67,33.33,65,-1,1,2,8.32,16.65,24.97,-42.16,16.67,58.82,-4,1,5,8.32,41.62,49.94,1,-40.13,63.21,-7,3,10,24.97,83.24,108.21,66.67,0,0,1,-29.76,33.33,63.1,-3,3,6,24.97,49.94,74.91,66.67,1,1,-23.93,40,63.93,-1,16.65,24.97,2,3,0,70,50,-66.67,66.67,0,8.32,0,1,-1,0,0,0,0,66.67,83.33,40.74,3,4,28.57,2,2,5,0,1,0,0,0,0,0,0,0,0,7.21,57.77,11.09,15.82,16.22,47.8,50,48.54,53.02,52.31,52.3
"anisiar8820122013","Artem.Anisimov","C","CBJ",35,20122013,24,"1.875","1.875",11,7,18,1.17,0.75,1.92,-2,49.22,98,16.18,-4.44,16.09,32,-0.7,49.2,49.9,-3,92,95,9.8,10.12,19.93,2.15,51.04,48.89,9,221,212,23.55,22.59,46.14,69,0.18,49.04,-15,476,491,50.72,52.32,103.04,53.57,35,24,126,1.51,49.29,47.79,-10,349,359,37.19,38.26,75.45,73.07,23,91,0.47,48.3,47.83,-18,27.17,29.09,255,273,68,44.4,23.96,-9.41,52.54,2.34,3.09,22,29,-7,43.14,12.09,8.63,6.3,89.38,91.92,48.58,249,260,47.17,192,222,215,13,41,4,3,57,5,17,6,4,-0.21,563.06,1580.3,26.27,18.07,17.85,47.96,50.16,49.64,53.86,53.44,53.11
"antroni8020122013","Nik.Antropov","RC","WPG",40,20122013,32,"4.750","4.062",6,12,18,0.56,1.12,1.69,0,49.61,101.77,10.71,12.15,16.01,28,1.2,49.35,48.15,-3,114,117,10.68,10.96,21.64,0.94,49.13,48.19,-10,283,293,26.51,27.45,53.96,64,0.32,49.29,-9,574,583,53.77,54.61,108.38,54.01,26,27,97,0.67,49.47,48.8,-9,422,431,39.53,40.37,79.91,73.46,15,71,1.34,49.52,48.18,-6,29.04,29.6,310,316,56,45.8,26.68,13.69,40.85,2.81,2.34,30,25,5,54.55,8.45,9.68,7.11,92.09,94.2,41.98,128,176,58.7,216,204,152,76,29,8,4,50,19,15,8,8,0,640.5,1781.35,26.45,18.01,17.41,51.01,50.14,56.45,54.21,54.22,53.92
"arcobma8820122013","Mark.Arcobello","CR","EDM",1,20122013,24,"0.640","0.627",0,0,0,0,0,0,0,37.93,100,NA,12.5,19.67,0,23.81,66.67,42.86,2,4,2,12.2,6.1,18.31,0,50,50,0,8,8,24.41,24.41,48.81,0,-8.58,46.51,-7,11,18,33.56,54.92,88.47,63.64,0,2,0,-6.32,42.86,49.18,-3,9,12,27.46,36.61,64.07,77.78,0,0,-1.16,50,51.16,0,21.36,21.36,7,7,0,61.11,41.67,NA,40,0,0,0,0,0,NA,NA,0,0,100,100,36.67,3,7,62.5,5,3,3,0,0,0,0,0,1,0,0,0,0,19.67,42.08,31.85,19.85,17.52,47.41,50.17,52.43,58.15,54.48,54.1
"armstco8220122013","Colby.Armstrong","RL","MTL",41,20122013,29,"1.000","1.000",2,3,5,0.26,0.4,0.66,6,40.94,99.39,5.71,-24.92,11.11,23,-9.65,46.98,56.63,-9,70,79,9.22,10.4,19.62,-14.33,39.82,54.15,-68,133,201,17.51,26.47,43.98,37,-13.21,54.16,-138,312,450,41.08,59.25,100.34,49.04,10,23,60,-13.76,41.44,55.2,-93,225,318,29.63,41.87,71.5,68,15,50,-16.65,39.13,55.78,-85,20.15,31.34,153,238,35,47.11,25.16,-19.31,56.35,1.32,2.24,10,17,-7,37.04,4,6.54,4.44,92.86,94.65,41.46,9,12,30.38,79,161,181,47,60,2,1,33,10,10,5,11,0.79,455.67,2037.49,18.28,16.87,17.1,47.93,50.34,51.23,55.65,54.59,53.84
"ashamar7820122013","Arron.Asham","R","NYR",37,20122013,34,"1.000","1.000",4,0,4,0.97,0,0.97,-3,40.91,104.37,19.05,-9.61,6.65,9,-11.92,42.65,54.57,-10,29,39,7.07,9.5,16.57,-13.35,39.52,52.87,-35,66,101,16.08,24.61,40.7,16,-9.94,50.85,-76,171,247,41.67,60.19,101.86,45.03,7,8,33,-10.96,40.96,51.91,-53,120,173,29.24,42.16,71.4,64.17,5,26,-12.49,39.69,52.18,-40,18.76,28.51,77,117,21,52.63,32.37,3.93,56.07,1.46,0.97,6,4,2,60,15.38,7.79,5,96.58,97.69,43.33,5,5,43.8,53,72,68,54,24,0,0,17,5,6,6,3,-0.73,246.21,2031.33,10.81,15.65,16.33,48.43,49.53,51.77,55.14,52.9,53.91
"atkinca8920122013","Cam.Atkinson","R","CBJ",35,20122013,23,"0.838","0.775",9,9,18,0.99,0.99,1.98,1,54.12,101.74,9.89,11.86,15.56,39,7.51,52.49,44.98,9,95,86,10.46,9.47,19.94,10.1,55.29,45.2,45,235,190,25.88,20.93,46.81,85,9.14,44.98,75,493,418,54.3,46.04,100.34,53.96,18,16,142,9.87,53.95,44.08,52,355,303,39.1,33.37,72.48,74.93,33,124,10.69,54.51,43.82,44,29.3,24.45,266,222,91,46.89,26.73,8.26,51.26,2.75,1.87,25,17,8,59.52,7.26,9.4,7.04,92.34,94.39,40,0,0,58.33,182,188,130,24,24,7,2,82,6,19,2,3,0.11,544.73,1618.73,25.18,17.76,17.63,48.33,50.16,49.27,52.68,52.96,52.61
"aucoiad7320122013","Adrian.Aucoin","D","CBJ",36,20122013,39,"2.000","2.000",0,4,4,0,0.41,0.41,-5,44.76,98.51,0,-3.82,16.2,0,-7.67,40.74,48.41,-35,77,112,7.92,11.52,19.44,-3.76,44.87,48.64,-45,197,242,20.27,24.9,45.17,7,-4.72,49.48,-97,414,511,42.59,52.57,95.17,51.69,27,13,65,-6.19,42.25,48.45,-106,289,395,29.73,40.64,70.37,74.05,12,38,-7.08,41.31,48.4,-90,22.02,31.28,214,304,26,40.51,23.04,-18.65,54.76,1.34,2.37,13,23,-10,36.11,0,6.07,4.5,92.43,94.18,40,0,0,46.09,165,169,193,43,9,2,2,26,8,4,8,3,-0.51,583.19,1632.2,26.32,16.34,17.07,47.64,50.16,48.47,53.27,52.92,52.58
"aucoike7820122013","Keith.Aucoin","C","NYI",47,20122013,33,"0.650","0.650",6,9,15,0.61,0.92,1.53,8,52.93,99.9,10.17,-1.37,12.55,28,-2.08,51.61,53.69,8,128,120,13.03,12.21,25.24,0.98,53.02,52.04,35,307,272,31.24,27.68,58.92,61,2.24,50.69,67,605,538,61.56,54.75,116.31,54.38,28,24,107,2.32,53.36,51.04,56,445,389,45.28,39.58,84.87,73.93,20,79,3.04,55.2,52.17,62,33.48,27.17,329,267,59,50.37,31.36,7.2,47.71,2.85,2.34,28,23,5,54.9,7.59,8.51,6.29,91.39,94.09,49.26,193,195,50.63,160,184,156,39,39,7,2,53,19,25,2,10,0.81,589.62,2281.72,20.53,16.71,17.12,49.66,49.7,53.78,54.51,53.36,54.01
"aulieke8920122013","Keith.Aulie","D","T.B",45,20122013,23,"0.578","0.578",2,5,7,0.21,0.52,0.72,-9,44.35,100.22,5.41,1.17,12.92,3,-1.06,50,51.06,0,117,117,12.07,12.07,24.14,-3.5,44.83,48.33,-57,247,304,25.48,31.36,56.84,17,-2.77,47.12,-121,475,596,49,61.49,110.49,56.42,27,42,76,-2.66,44.58,47.24,-88,362,450,37.35,46.42,83.77,74.03,12,49,-1.32,46.29,47.6,-43,27.65,32.08,268,311,37,47.82,30.89,-3.29,50.23,2.37,2.68,23,26,-3,46.94,4.08,8.58,6.35,91.64,94.22,40,0,0,48.46,126,198,134,91,62,3,2,35,8,5,11,2,-0.93,581.58,2135.37,21.41,16.57,17.11,47.25,49.66,49.67,55.45,53.76,54.51
"babchan8420122013","Anton.Babchuk","D","CGY",7,20122013,28,"2.500","2.500",0,1,1,0,0.76,0.76,0,41.5,103.79,0,11.98,11.26,1,-15.89,32.26,48.15,-11,10,21,7.61,15.99,23.6,-9.03,36.49,45.52,-20,27,47,20.55,35.78,56.33,2,-2.23,43.73,-25,61,86,46.44,65.47,111.91,54.1,5,9,13,-3.4,40.74,44.14,-20,44,64,33.5,48.72,82.22,75,3,8,-3.78,40.74,44.52,-15,25.12,36.54,33,48,5,44.19,25,15.71,34.29,3.05,3.05,4,4,0,50,0,12.12,9.09,91.67,93.75,40,0,0,50.85,30,31,29,1,2,0,1,5,5,0,0,0,0,78.82,340.49,18.8,15.59,16.65,47.83,48.45,50.7,55.29,49.53,52.71
"backeda8420122013","David.Backes","RC","STL",54,20122013,28,"3.750","4.500",7,24,31,0.39,1.34,1.73,-9,53.88,99.8,5.88,-12.88,19.94,66,2.39,52.82,50.43,20,187,167,10.42,9.3,19.72,0.8,51.89,51.08,33,454,421,25.29,23.46,48.75,122,2.62,51.25,143,994,851,55.38,47.41,102.79,50.3,30,47,199,2.83,55.19,52.35,137,729,592,40.62,32.98,73.6,68.59,50,169,2.7,55.43,52.73,98,27.86,22.4,500,402,119,52.76,32.09,4.88,50,2.51,2.06,45,37,8,54.88,4.14,9,6.17,90.8,93.75,52.95,549,483,43.8,350,377,449,181,71,13,11,112,16,33,19,10,-0.5,1076.93,2216.4,32.7,18.8,17.95,50.95,50.94,51.86,49.92,54.22,52.21
"backlmi8920122013","Mikael.Backlund","C","CGY",32,20122013,23,"0.725","0.725",8,8,16,1,1,2.01,2,53.66,99.28,9.2,3.93,14.94,35,5.2,56.42,51.23,23,101,78,12.68,9.79,22.47,8.14,55.1,46.96,45,243,198,30.5,24.85,55.36,78,7.12,46.54,65,476,411,59.75,51.59,111.34,52.31,29,19,144,7.16,53.4,46.25,45,353,308,44.31,38.66,82.97,70.54,28,115,7.57,54.13,46.56,38,31.26,26.49,249,211,87,48.66,31.49,8.74,43.54,2.89,2.64,23,21,2,52.27,6.96,9.24,6.52,90.05,93.18,47.31,194,213,48.39,150,146,160,31,24,3,5,79,17,28,6,8,0.25,478,1455.1,24.73,17.8,17.25,48.44,50.28,51.74,55.08,52.88,52.29
"backsni8720122013","Nicklas.Backstrom","C","WSH",55,20122013,24,"6.000","6.700",9,42,51,0.49,2.3,2.8,3,54.24,103.28,9.38,12.22,19.9,59,7.66,53.37,45.71,26,206,180,11.3,9.87,21.16,6.01,53.48,47.47,70,538,468,29.5,25.66,55.16,103,8.29,45.95,183,1171,988,64.21,54.17,118.38,49.7,48,38,187,7.72,53.67,45.95,115,841,726,46.11,39.81,85.92,69.2,43,139,7.56,52.34,44.77,52,31.91,29.06,582,530,96,46.36,27,13.01,46.67,4.06,2.74,74,50,24,59.68,6.47,12.71,8.8,90.57,93.11,51.58,498,463,55.93,462,328,364,38,80,17,25,87,31,35,10,13,0.16,1094.28,2247.15,32.75,18.6,18.12,47.87,50.41,52.47,57.15,55.46,54.56
"baertsv9220122013","Sven.Baertschi","LR","CGY",20,20122013,19,"0.925","0.894",3,7,10,0.66,1.55,2.21,3,50.84,101.38,10.71,11.61,13.57,16,14.53,59.8,45.27,20,61,41,13.48,9.06,22.54,8.25,53.94,45.68,20,137,117,30.28,25.86,56.14,31,5.63,45.22,8,242,234,53.49,51.72,105.21,60.74,8,5,44,7.28,52.43,45.15,18,194,176,42.88,38.9,81.78,75.77,8,36,6.27,52.13,45.86,12,32.49,29.84,147,135,28,42.31,23.3,3.73,52.27,3.09,2.43,14,11,3,56,8.33,9.52,7.22,91.85,93.75,42.86,1,0,53.12,85,93,75,12,28,4,3,25,5,12,3,6,0.66,271.46,937.38,22.46,17.81,17.17,48.54,49.38,51.95,55.07,52.26,53.57
"bailejo8920122013","Josh.Bailey","RL","NYI",44,20122013,22,"1.300","1.050",11,11,22,0.89,0.89,1.79,0,51.24,100.25,11.96,0.9,16.79,56,3.22,56.34,53.11,36,160,124,12.99,10.07,23.06,0.41,53.37,52.96,47,372,325,30.21,26.39,56.6,104,-0.26,51.5,34,704,670,57.16,54.4,111.57,53.69,31,26,150,1.23,52.94,51.7,57,514,457,41.74,37.11,78.84,73.54,27,119,0.25,53.62,53.37,51,30.69,26.55,378,327,92,51.19,28.45,6.99,47.4,2.52,2.11,31,26,5,54.39,9.24,8.2,6.03,92.05,94.31,45.71,40,45,52.74,221,245,198,32,50,8,3,81,28,33,3,3,0,738.93,1955.98,27.42,18.43,17.85,49.42,49.7,54.34,55.61,54.71,55.36
"ballake8220122013","Keith.Ballard","D","VAN",36,20122013,29,"4.200","4.200",0,2,2,0,0.22,0.22,0,48.77,97.78,0,-2.6,15.44,6,-5.2,45.23,50.43,-19,90,109,9.72,11.77,21.48,-1.85,46.53,48.38,-34,228,262,24.61,28.29,52.9,24,-4.19,52.96,-23,457,480,49.34,51.82,101.16,55.8,24,34,70,-2.62,48.92,51.54,-15,341,356,36.81,38.43,75.25,74.78,11,46,0.23,49.51,49.29,-5,27.53,28.07,255,260,35,45.83,26.97,-12.11,52.11,1.3,1.94,12,18,-6,40,0,4.71,3.52,93.08,94.94,40,0,0,49.54,161,168,164,45,54,1,1,35,13,16,12,12,0,555.77,1654.38,25.15,15.96,16.9,51.34,49.44,54.33,51.5,52.2,53.39
"banckca8920122013","Carter.Bancks","L","CGY",2,20122013,23,"0.560","0.560",0,0,0,0,0,0,0,23.4,100,NA,11.95,14,0,-23.76,16.67,40.43,-4,1,5,2.14,10.71,12.85,-6.59,29.41,36,-7,5,12,10.71,25.71,36.42,0,-13.17,36.57,-25,11,36,23.56,77.12,100.68,63.64,0,3,0,-9.75,28.12,37.88,-14,9,23,19.28,49.27,68.55,77.78,0,0,-8.4,31.82,40.22,-8,15,32.13,7,15,0,58.33,34.78,NA,36.36,0,0,0,0,0,NA,NA,0,0,100,100,40,0,0,42.86,9,8,12,6,4,0,0,0,0,1,0,0,0,28.01,91.91,23.36,16.59,16.13,46.92,51.17,50.04,56.6,51.69,49.34
"bangxda8720122013","Daniel.Bang","LR","NSH",8,20122013,25,"0.718","0.718",0,2,2,0,1.13,1.13,2,46.91,94.54,0,27.8,13.32,9,3.26,54.55,51.28,3,18,15,10.14,8.45,18.58,-3.08,45.78,48.86,-7,38,45,21.4,25.34,46.74,16,0.74,46.18,-10,76,86,42.8,48.43,91.23,52.63,5,0,24,-0.97,44.8,45.77,-13,56,69,31.54,38.86,70.39,71.43,6,19,-5.26,42.55,47.81,-14,22.53,30.41,40,54,13,37.21,21.74,-4.29,34.29,1.69,3.94,3,7,-4,30,0,7.5,5.36,87.04,89.86,40,0,0,66.13,41,42,21,12,11,1,1,13,0,3,0,2,1.13,106.54,373.8,22.18,18.06,17.01,46.74,50.91,46.56,53.05,52.95,51.05
"barbema9020122013","Mark.Barberio","D","T.B",2,20122013,22,"0.600","0.580",0,0,0,0,0,0,0,51.79,101.11,0,17.46,15.42,0,5.16,60,54.84,2,6,4,11.68,7.78,19.46,9.74,50,40.26,0,13,13,25.3,25.3,50.59,0,18.25,33.54,2,29,27,56.43,52.54,108.97,31.03,3,1,6,11.46,47.83,36.36,-2,22,24,42.81,46.7,89.51,40.91,2,3,-7.6,31.03,38.64,-11,17.51,38.92,9,20,1,25.93,16.67,-12.12,45.45,1.95,3.89,1,2,-1,33.33,0,11.11,4.55,90,91.67,40,0,0,52.94,9,6,8,0,2,0,0,1,5,0,0,0,0,30.83,88.66,25.8,16.84,17.22,47.64,50.02,50.36,55.35,56.37,56.33
"barchkr8020122013","Krys.Barch","L","N.J",22,20122013,32,"0.750","0.750",0,0,0,0,0,0,0,50.33,104.76,0,5.93,5.52,5,-10.68,46.43,57.11,-2,13,15,6.43,7.41,13.84,-11.29,42.67,53.96,-11,32,43,15.82,21.25,37.07,6,-4.62,54.94,1,77,76,38.06,37.56,75.62,45.45,2,3,9,-1.94,52.59,54.53,6,61,55,30.15,27.18,57.33,57.38,3,7,-8.5,43.75,52.25,-10,17.3,22.24,35,45,4,40.79,18.18,9.97,47.17,1.98,1.48,4,3,1,57.14,0,11.43,6.56,93.33,94.55,40.91,1,1,56.82,25,46,19,25,12,0,0,4,2,0,2,2,0,121.4,1222.81,9.03,16.87,16.46,51.17,49.65,48.43,46.21,53.53,54.3
"barkeca8620122013","Cam.Barker","D","VAN",14,20122013,26,"0.700","0.700",0,2,2,0,0.59,0.59,-1,47.98,97.14,0,11.86,14.52,2,-2.65,46.15,48.8,-5,30,35,8.85,10.33,19.18,-2.84,45.11,47.95,-18,83,101,24.49,29.8,54.3,9,-3.27,51.25,-15,178,193,52.52,56.95,109.48,57.3,10,16,36,-1.84,47.5,49.34,-14,133,147,39.25,43.38,82.62,76.69,7,26,0.77,49.76,48.98,-1,30.1,30.39,102,103,19,46.63,29.93,-11.06,51.06,1.77,2.66,6,9,-3,40,0,5.88,4.51,91.26,93.88,40,0,0,56.62,77,47,59,16,11,1,1,19,4,0,2,1,-0.3,203.33,658.95,23.58,16.3,17.07,51.43,48.71,53.54,50.57,51.5,54.22
"barrity9120122013","Tyson.Barrie","D","COL",32,20122013,21,"0.690","0.715",2,11,13,0.17,0.96,1.13,1,51.13,98.14,3.45,9.32,21.55,8,5.17,50.51,45.34,3,148,145,12.87,12.61,25.49,6.63,50.77,44.15,10,328,318,28.53,27.66,56.19,27,6.53,44.6,29,656,627,57.06,54.54,111.61,52.13,48,24,143,5.55,50.67,45.12,13,495,482,43.06,41.93,84.99,69.09,37,95,3.11,49.49,46.39,-7,29.75,30.36,342,349,58,44.34,27.59,1.53,42.11,2.09,2.7,24,31,-7,43.64,2.11,7.02,4.85,91.12,93.57,40,0,0,54.58,256,218,213,31,39,5,6,56,15,13,5,6,0.09,689.74,1273.42,35.13,17.02,17.44,49.44,49.99,54.8,56.04,52.35,52.39
