Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Ryan White,PHI,34,,6,,6,,12,,4,,30,,108,,14,,65,,58,,0.528,,0,,0,,0,,1,,1,,45,,0.133
Barclay Goodrow,SAN,60,,4,,8,,12,,-1,,35,,76,,24,,12,,11,,0.522,,0,,0,,0,,1,,2,,68,,0.059
Calvin de Haan,NYI,65,,1,,11,,12,,3,,24,,140,,130,,0,,0,,N/A,,0,,1,,1,,0,,0,,92,,0.011
Ryan Reaves,STL,81,,6,,6,,12,,-3,,116,,276,,14,,0,,0,,N/A,,0,,0,,0,,0,,1,,55,,0.109
Andrew MacDonald,PHI,58,,2,,10,,12,,-5,,41,,35,,86,,0,,0,,N/A,,1,,4,,0,,0,,0,,62,,0.032
Steve Ott,STL,78,,3,,9,,12,,-8,,86,,184,,14,,160,,124,,0.563,,0,,0,,0,,0,,0,,49,,0.061
Carl Gunnarsson,STL,61,,2,,10,,12,,10,,2,,42,,114,,0,,0,,N/A,,0,,1,,0,,0,,0,,54,,0.037
Mark Borowiecki,OTT,63,,1,,10,,11,,15,,107,,233,,102,,0,,0,,N/A,,0,,0,,0,,0,,0,,30,,0.033
Eric Brewer,TOR,44,,3,,8,,11,,-5,,36,,87,,72,,0,,0,,N/A,,0,,0,,0,,1,,1,,33,,0.091
Matt Hunwick,TOR,55,,2,,9,,11,,17,,16,,55,,43,,0,,0,,N/A,,0,,2,,0,,0,,1,,72,,0.028
Maxim Lapierre,PIT,80,,2,,9,,11,,-15,,32,,153,,36,,305,,277,,0.524,,0,,0,,0,,0,,0,,86,,0.023
Deryk Engelland,CGY,76,,2,,9,,11,,-16,,53,,132,,141,,0,,0,,N/A,,0,,0,,0,,1,,0,,51,,0.039
John Moore,NJD,57,,2,,9,,11,,-4,,30,,77,,52,,0,,0,,N/A,,0,,4,,0,,0,,0,,77,,0.026
