Name,Team,GP,,GS,,MIN,,W,,L,,OTL,,EGA,,GA,,GAA,,SA,,SV,,SV%,,SO
Antti Niemi,DAL,43,,43,,2581,,24,,12,,6,,3,,93,,2.16,,1220,,1127,,0.924,,4
Niklas Backstrom,MIN,42,,41,,2368,,24,,15,,3,,2,,98,,2.48,,1072,,974,,0.909,,2
Henrik Lundqvist,NYR,43,,43,,2575,,24,,16,,3,,6,,88,,2.05,,1190,,1102,,0.926,,2
Marc-Andre Fleury,PIT,33,,31,,1858,,23,,8,,0,,2,,74,,2.39,,881,,807,,0.916,,1
Braden Holtby,WAS,36,,35,,2089,,23,,12,,1,,2,,90,,2.58,,1123,,1033,,0.92,,4
Evgeni Nabokov,SAN,41,,41,,2475,,23,,11,,7,,6,,103,,2.5,,1139,,1036,,0.91,,3
Ondrej Pavelec,WPG,44,,43,,2553,,21,,20,,3,,5,,119,,2.8,,1251,,1132,,0.905,,0
Jimmy Howard,DET,42,,42,,2446,,21,,13,,7,,2,,87,,2.13,,1129,,1042,,0.923,,5
Sergei Bobrovsky,COB,38,,37,,2219,,21,,11,,6,,3,,74,,2,,1084,,1010,,0.932,,4
Carey Price,MON,39,,38,,2249,,21,,13,,4,,2,,97,,2.59,,1018,,921,,0.905,,3
Tuukka Rask,BOS,36,,34,,2104,,19,,10,,5,,5,,70,,2,,980,,910,,0.929,,5
James Reimer,TOR,33,,31,,1856,,19,,8,,5,,4,,76,,2.46,,995,,919,,0.924,,4
Ilya Bryzgalov,ANA,40,,40,,2298,,19,,17,,3,,7,,107,,2.79,,1066,,959,,0.9,,1
Corey Crawford,CHI,30,,28,,1761,,19,,5,,5,,1,,57,,1.94,,769,,712,,0.926,,3
Jonathan Quick,LOS,37,,36,,2134,,18,,13,,4,,2,,87,,2.45,,889,,802,,0.902,,1
Ryan Miller,VAN,40,,39,,2302,,17,,17,,5,,3,,108,,2.81,,1270,,1162,,0.915,,0
Ray Emery,TAM,21,,19,,1116,,17,,1,,0,,0,,36,,1.94,,460,,424,,0.922,,3
Cory Schneider,NJD,30,,30,,1733,,17,,9,,4,,1,,61,,2.11,,835,,774,,0.927,,5
Kari Lehtonen,DAL,36,,35,,1986,,15,,14,,3,,3,,88,,2.66,,1050,,962,,0.916,,1
Pekka Rinne,NAS,43,,42,,2444,,15,,16,,8,,2,,99,,2.43,,1101,,1002,,0.91,,5
Mike Smith,ARI,34,,34,,1956,,15,,12,,5,,2,,84,,2.58,,938,,854,,0.91,,5
Jonas Hiller,CGY,26,,25,,1498,,15,,6,,4,,1,,59,,2.36,,675,,616,,0.913,,1
Viktor Fasth,EDM,25,,23,,1428,,15,,6,,2,,3,,52,,2.18,,661,,609,,0.921,,4
Devan Dubnyk,MIN,38,,37,,2101,,14,,16,,6,,4,,90,,2.57,,1132,,1042,,0.92,,2
Brian Elliott,STL,24,,20,,1292,,14,,8,,1,,1,,49,,2.28,,526,,477,,0.907,,3
Martin Brodeur,STL,29,,29,,1757,,13,,9,,7,,2,,65,,2.22,,654,,589,,0.901,,2
Tomas Vokoun,PIT,20,,17,,1029,,13,,4,,0,,1,,42,,2.45,,519,,477,,0.919,,3
Craig Anderson,OTT,24,,24,,1421,,12,,9,,2,,1,,40,,1.69,,677,,637,,0.941,,3
Ben Bishop,TAM,22,,21,,1261,,11,,9,,1,,3,,56,,2.67,,701,,645,,0.92,,2
Semyon Varlamov,COL,35,,33,,1950,,11,,21,,3,,6,,98,,3.02,,1007,,909,,0.903,,3
Anders Lindback,ARI,24,,21,,1304,,10,,10,,1,,3,,63,,2.9,,642,,579,,0.902,,0
Anton Khudobin,ANA,14,,14,,803,,9,,4,,1,,0,,31,,2.32,,388,,357,,0.92,,1
Jonathan Bernier,TOR,14,,12,,768,,9,,3,,1,,1,,24,,1.87,,306,,282,,0.922,,1
Cam Ward,CAR,17,,16,,929,,9,,6,,1,,1,,44,,2.84,,477,,433,,0.908,,0
Roberto Luongo,FLA,20,,18,,1197,,9,,6,,3,,2,,51,,2.56,,551,,500,,0.907,,2
Jake Allen,STL,15,,13,,804,,9,,4,,0,,0,,33,,2.46,,346,,313,,0.905,,1
Miikka Kiprusoff,CGY,24,,24,,1344,,8,,14,,2,,2,,77,,3.44,,650,,573,,0.882,,0
Peter Budaj,LOS,13,,10,,656,,8,,1,,1,,0,,25,,2.28,,273,,248,,0.908,,1
Joey MacDonald,MON,21,,17,,1148,,8,,9,,1,,2,,55,,2.87,,562,,507,,0.902,,0
Jacob Markstrom,VAN,23,,23,,1266,,8,,14,,1,,5,,68,,3.22,,685,,617,,0.901,,0
Steve Mason,PHI,20,,17,,1090,,7,,8,,1,,4,,47,,2.59,,561,,514,,0.916,,0
Ben Scrivens,EDM,20,,17,,1025,,7,,9,,0,,2,,46,,2.69,,542,,496,,0.915,,2
Richard Bachman,VAN,13,,8,,609,,6,,5,,0,,2,,33,,3.25,,288,,255,,0.885,,0
Dan Ellis,WAS,19,,16,,997,,6,,8,,2,,1,,52,,3.13,,555,,503,,0.906,,1
Jaroslav Halak,NYI,16,,15,,813,,6,,5,,1,,2,,29,,2.14,,286,,257,,0.899,,3
Johan Hedberg,NYR,19,,19,,1108,,6,,10,,3,,1,,51,,2.76,,435,,384,,0.883,,1
Jean-Sebastien Giguere,COL,18,,14,,908,,5,,4,,4,,1,,43,,2.84,,469,,426,,0.908,,0
Mathieu Garon,LOS,18,,16,,910,,5,,9,,2,,1,,44,,2.9,,427,,383,,0.897,,0
Robin Lehner,BUF,12,,12,,735,,5,,3,,4,,0,,27,,2.2,,424,,397,,0.936,,0
Michal Neuvirth,PHI,13,,12,,723,,4,,5,,2,,0,,33,,2.74,,367,,334,,0.91,,0
Jhonas Enroth,LOS,12,,9,,623,,4,,4,,1,,1,,27,,2.6,,332,,305,,0.919,,1
Justin Peters,WAS,19,,16,,954,,4,,11,,1,,6,,55,,3.46,,506,,451,,0.891,,1
Nikolai Khabibulin,CHI,12,,11,,684,,4,,6,,1,,1,,29,,2.55,,376,,347,,0.923,,1
Jose Theodore,FLA,15,,14,,766,,4,,6,,3,,1,,42,,3.29,,391,,349,,0.893,,0
Jason LaBarbera,PHI,15,,10,,726,,4,,6,,2,,2,,32,,2.64,,418,,386,,0.923,,0
Scott Clemmensen,NJD,19,,11,,866,,3,,7,,2,,1,,53,,3.67,,421,,368,,0.874,,0
Al Montoya,FLA,7,,5,,351,,3,,1,,0,,0,,17,,2.9,,168,,151,,0.899,,1
Martin Biron,NYR,6,,5,,336,,2,,2,,1,,1,,13,,2.32,,156,,143,,0.917,,0
Leland Irving,MIN,6,,5,,270,,2,,1,,1,,0,,15,,3.33,,128,,113,,0.883,,0
Chad Johnson,BUF,4,,4,,247,,2,,0,,2,,0,,5,,1.22,,108,,103,,0.954,,1
Jonas Gustavsson,BOS,7,,4,,349,,2,,2,,1,,0,,17,,2.92,,140,,123,,0.879,,0
Kevin Poulin,CGY,5,,4,,258,,1,,3,,0,,1,,13,,3.03,,122,,109,,0.893,,0
Josh Harding,MIN,5,,3,,185,,1,,1,,0,,0,,10,,3.24,,73,,63,,0.863,,1
Yann Danis,NJD,3,,0,,110,,1,,0,,0,,0,,7,,3.81,,59,,52,,0.881,,0
Chris Mason,NAS,11,,6,,467,,1,,7,,1,,3,,29,,3.73,,229,,200,,0.873,,0
