Name,Team,GP,,GS,,MIN,,W,,L,,OTL,,EGA,,GA,,GAA,,SA,,SV,,SV%,,SO
Darcy Kuemper,MIN,6,,3,,288,,1,,2,,0,,0,,10,,2.08,,119,,109,,0.916,,0
Cristopher Nilstorp,DAL,5,,5,,291,,1,,3,,1,,0,,15,,3.09,,146,,131,,0.897,,0
Petr Mrazek,DET,2,,2,,119,,1,,1,,0,,0,,4,,2.01,,51,,47,,0.922,,0
Thomas Greiss,NYI,6,,5,,308,,1,,4,,0,,1,,13,,2.53,,153,,140,,0.915,,1
Danny Taylor,WPG,2,,2,,120,,1,,1,,0,,0,,6,,3,,68,,62,,0.912,,0
Keith Kinkaid,NJD,1,,0,,26,,0,,0,,0,,1,,1,,2.33,,13,,12,,0.923,,0
Philipp Grubauer,WAS,2,,1,,84,,0,,1,,0,,0,,5,,3.57,,59,,54,,0.915,,0
Sami Aittokallio,COL,1,,1,,49,,0,,0,,0,,0,,2,,2.43,,25,,23,,0.92,,0
Rick DiPietro,NYI,3,,3,,176,,0,,3,,0,,1,,12,,4.1,,83,,71,,0.855,,0
Jeff Frazee,NJD,1,,0,,19,,0,,0,,0,,1,,0,,0,,3,,3,,1,,0
Michael Leighton,CHI,1,,1,,59,,0,,1,,0,,0,,5,,5.07,,26,,21,,0.808,,0
Cedrick Desjardins,NYR,3,,2,,160,,0,,3,,0,,1,,8,,3,,73,,65,,0.89,,0
Alex Stalock,SAN,2,,0,,42,,0,,0,,1,,0,,2,,2.87,,13,,11,,0.846,,0
Matt Hackett,ANA,1,,1,,59,,0,,1,,0,,0,,5,,5.07,,33,,28,,0.848,,0
Jussi Rynnas,DAL,1,,0,,10,,0,,0,,0,,0,,0,,0,,6,,6,,1,,0
Carter Hutton,NAS,1,,1,,59,,0,,1,,0,,0,,3,,3.06,,28,,25,,0.893,,0
Brian Boucher,PHI,4,,1,,144,,0,,2,,0,,1,,6,,2.5,,55,,49,,0.891,,0
