Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Martin Hanzal,ARI,25,,5,,15,,20,,-5,,24,,38,,14,,231,,196,,0.541,,0,,4,,0,,0,,0,,46,,0.109
Derick Brassard,NYR,29,,9,,11,,20,,8,,10,,32,,9,,264,,225,,0.54,,3,,3,,0,,0,,2,,59,,0.153
Ryan Nugent-Hopkins,EDM,28,,7,,13,,20,,-4,,4,,17,,20,,192,,242,,0.442,,2,,6,,0,,0,,0,,55,,0.127
Brad Marchand,BOS,25,,13,,7,,20,,12,,52,,18,,13,,7,,12,,0.368,,3,,1,,3,,0,,2,,76,,0.171
Mikko Koivu,MIN,26,,4,,16,,20,,1,,4,,11,,17,,347,,277,,0.556,,3,,3,,1,,0,,0,,43,,0.093
Mikkel Boedker,ARI,28,,9,,11,,20,,-10,,4,,22,,9,,0,,0,,N/A,,1,,5,,0,,0,,2,,68,,0.132
Alex Galchenyuk,MON,29,,7,,13,,20,,5,,8,,9,,16,,163,,146,,0.528,,2,,5,,0,,0,,2,,54,,0.13
Jaromir Jagr,FLA,26,,8,,12,,20,,-2,,14,,6,,5,,0,,0,,N/A,,2,,3,,0,,0,,1,,47,,0.17
Scott Hartnell,COB,28,,11,,9,,20,,-8,,37,,63,,16,,0,,1,,0,,4,,1,,0,,0,,0,,56,,0.196
Steven Stamkos,TAM,28,,11,,9,,20,,-3,,12,,30,,11,,178,,174,,0.506,,6,,3,,0,,0,,2,,70,,0.157
Ryan Johansen,COB,27,,6,,14,,20,,-3,,16,,40,,9,,231,,221,,0.511,,1,,8,,0,,0,,0,,71,,0.085
Tyler Toffoli,LOS,27,,11,,9,,20,,14,,4,,20,,6,,0,,1,,0,,4,,1,,1,,0,,2,,72,,0.153
Thomas Vanek,MIN,26,,10,,9,,19,,-1,,12,,6,,3,,7,,8,,0.467,,3,,3,,0,,0,,2,,59,,0.169
